Method, Prec, Recall
fdr,0.555555555556,0.0632911392405
l1svc,0.457142857143,0.20253164557
boruta,0.555555555556,0.0632911392405
jmi,0.5,0.0506329113924
glasso,nan,nan
marginal 0.050000,0.0392156862745,0.418604651163
marginal 0.100000,0.020618556701,0.046511627907
marginal 0.200000,nan,0.0
marginal 0.300000,nan,0.0
marginal 0.500000,nan,0.0
marginal 0.700000,nan,0.0
marginal 0.800000,nan,0.0
mixomics 0.050000,0.0877742946708,0.325581395349
mixomics 0.100000,0.130841121495,0.162790697674
mixomics 0.200000,0.230769230769,0.0697674418605
mixomics 0.300000,0.6,0.0348837209302
mixomics 0.500000,nan,0.0
mixomics 0.700000,nan,0.0
mixomics 0.800000,nan,0.0
