Chromosome	Start	End	Bin	Absolute	ChromoStart
I	1	334241	1	1	1
I	334241	668481	2	334241	0
I	668481	1002721	3	668481	0
I	1002721	1336961	4	1002721	0
I	1336961	1671201	5	1336961	0
I	1671201	2005441	6	1671201	0
I	2005441	2339681	7	2005441	0
I	2339681	2673921	8	2339681	0
I	2673921	3008161	9	2673921	0
I	3008161	3342401	10	3008161	0
I	3342401	3676641	11	3342401	0
I	3676641	4010881	12	3676641	0
I	4010881	4345121	13	4010881	0
I	4345121	4679361	14	4345121	0
I	4679361	5013601	15	4679361	0
I	5013601	5347841	16	5013601	0
I	5347841	5682081	17	5347841	0
I	5682081	6016321	18	5682081	0
I	6016321	6350561	19	6016321	0
I	6350561	6684801	20	6350561	0
I	6684801	7019041	21	6684801	0
I	7019041	7353281	22	7019041	0
I	7353281	7687521	23	7353281	0
I	7687521	8021761	24	7687521	0
I	8021761	8356001	25	8021761	0
I	8356001	8690241	26	8356001	0
I	8690241	9024481	27	8690241	0
I	9024481	9358721	28	9024481	0
I	9358721	9692961	29	9358721	0
I	9692961	10027201	30	9692961	0
I	10027201	10361441	31	10027201	0
I	10361441	10695681	32	10361441	0
I	10695681	11029921	33	10695681	0
I	11029921	11364161	34	11029921	0
I	11364161	11698401	35	11364161	0
I	11698401	12032641	36	11698401	0
I	12032641	12366881	37	12032641	0
I	12366881	12701121	38	12366881	0
I	12701121	13035361	39	12701121	0
I	13035361	13369601	40	13035361	0
I	13369601	13703841	41	13369601	0
I	13703841	14038081	42	13703841	0
I	14038081	14372321	43	14038081	0
I	14372321	14706561	44	14372321	0
I	14706561	15072424	45	14706561	0
II	1	334241	46	15072425	15072425
II	334241	668481	47	15406665	0
II	668481	1002721	48	15740905	0
II	1002721	1336961	49	16075145	0
II	1336961	1671201	50	16409385	0
II	1671201	2005441	51	16743625	0
II	2005441	2339681	52	17077865	0
II	2339681	2673921	53	17412105	0
II	2673921	3008161	54	17746345	0
II	3008161	3342401	55	18080585	0
II	3342401	3676641	56	18414825	0
II	3676641	4010881	57	18749065	0
II	4010881	4345121	58	19083305	0
II	4345121	4679361	59	19417545	0
II	4679361	5013601	60	19751785	0
II	5013601	5347841	61	20086025	0
II	5347841	5682081	62	20420265	0
II	5682081	6016321	63	20754505	0
II	6016321	6350561	64	21088745	0
II	6350561	6684801	65	21422985	0
II	6684801	7019041	66	21757225	0
II	7019041	7353281	67	22091465	0
II	7353281	7687521	68	22425705	0
II	7687521	8021761	69	22759945	0
II	8021761	8356001	70	23094185	0
II	8356001	8690241	71	23428425	0
II	8690241	9024481	72	23762665	0
II	9024481	9358721	73	24096905	0
II	9358721	9692961	74	24431145	0
II	9692961	10027201	75	24765385	0
II	10027201	10361441	76	25099625	0
II	10361441	10695681	77	25433865	0
II	10695681	11029921	78	25768105	0
II	11029921	11364161	79	26102345	0
II	11364161	11698401	80	26436585	0
II	11698401	12032641	81	26770825	0
II	12032641	12366881	82	27105065	0
II	12366881	12701121	83	27439305	0
II	12701121	13035361	84	27773545	0
II	13035361	13369601	85	28107785	0
II	13369601	13703841	86	28442025	0
II	13703841	14038081	87	28776265	0
II	14038081	14372321	88	29110505	0
II	14372321	14706561	89	29444745	0
II	14706561	15040801	90	29778985	0
II	15040801	15279346	91	30113225	0
III	1	334241	92	30351771	30351771
III	334241	668481	93	30686011	0
III	668481	1002721	94	31020251	0
III	1002721	1336961	95	31354491	0
III	1336961	1671201	96	31688731	0
III	1671201	2005441	97	32022971	0
III	2005441	2339681	98	32357211	0
III	2339681	2673921	99	32691451	0
III	2673921	3008161	100	33025691	0
III	3008161	3342401	101	33359931	0
III	3342401	3676641	102	33694171	0
III	3676641	4010881	103	34028411	0
III	4010881	4345121	104	34362651	0
III	4345121	4679361	105	34696891	0
III	4679361	5013601	106	35031131	0
III	5013601	5347841	107	35365371	0
III	5347841	5682081	108	35699611	0
III	5682081	6016321	109	36033851	0
III	6016321	6350561	110	36368091	0
III	6350561	6684801	111	36702331	0
III	6684801	7019041	112	37036571	0
III	7019041	7353281	113	37370811	0
III	7353281	7687521	114	37705051	0
III	7687521	8021761	115	38039291	0
III	8021761	8356001	116	38373531	0
III	8356001	8690241	117	38707771	0
III	8690241	9024481	118	39042011	0
III	9024481	9358721	119	39376251	0
III	9358721	9692961	120	39710491	0
III	9692961	10027201	121	40044731	0
III	10027201	10361441	122	40378971	0
III	10361441	10695681	123	40713211	0
III	10695681	11029921	124	41047451	0
III	11029921	11364161	125	41381691	0
III	11364161	11698401	126	41715931	0
III	11698401	12032641	127	42050171	0
III	12032641	12366881	128	42384411	0
III	12366881	12701121	129	42718651	0
III	12701121	13035361	130	43052891	0
III	13035361	13369601	131	43387131	0
III	13369601	13783701	132	43721371	0
IV	1	334241	133	44135472	44135472
IV	334241	668481	134	44469712	0
IV	668481	1002721	135	44803952	0
IV	1002721	1336961	136	45138192	0
IV	1336961	1671201	137	45472432	0
IV	1671201	2005441	138	45806672	0
IV	2005441	2339681	139	46140912	0
IV	2339681	2673921	140	46475152	0
IV	2673921	3008161	141	46809392	0
IV	3008161	3342401	142	47143632	0
IV	3342401	3676641	143	47477872	0
IV	3676641	4010881	144	47812112	0
IV	4010881	4345121	145	48146352	0
IV	4345121	4679361	146	48480592	0
IV	4679361	5013601	147	48814832	0
IV	5013601	5347841	148	49149072	0
IV	5347841	5682081	149	49483312	0
IV	5682081	6016321	150	49817552	0
IV	6016321	6350561	151	50151792	0
IV	6350561	6684801	152	50486032	0
IV	6684801	7019041	153	50820272	0
IV	7019041	7353281	154	51154512	0
IV	7353281	7687521	155	51488752	0
IV	7687521	8021761	156	51822992	0
IV	8021761	8356001	157	52157232	0
IV	8356001	8690241	158	52491472	0
IV	8690241	9024481	159	52825712	0
IV	9024481	9358721	160	53159952	0
IV	9358721	9692961	161	53494192	0
IV	9692961	10027201	162	53828432	0
IV	10027201	10361441	163	54162672	0
IV	10361441	10695681	164	54496912	0
IV	10695681	11029921	165	54831152	0
IV	11029921	11364161	166	55165392	0
IV	11364161	11698401	167	55499632	0
IV	11698401	12032641	168	55833872	0
IV	12032641	12366881	169	56168112	0
IV	12366881	12701121	170	56502352	0
IV	12701121	13035361	171	56836592	0
IV	13035361	13369601	172	57170832	0
IV	13369601	13703841	173	57505072	0
IV	13703841	14038081	174	57839312	0
IV	14038081	14372321	175	58173552	0
IV	14372321	14706561	176	58507792	0
IV	14706561	15040801	177	58842032	0
IV	15040801	15375041	178	59176272	0
IV	15375041	15709281	179	59510512	0
IV	15709281	16043521	180	59844752	0
IV	16043521	16377761	181	60178992	0
IV	16377761	16712001	182	60513232	0
IV	16712001	17046241	183	60847472	0
IV	17046241	17493794	184	61181712	0
V	1	334241	185	61629266	61629266
V	334241	668481	186	61963506	0
V	668481	1002721	187	62297746	0
V	1002721	1336961	188	62631986	0
V	1336961	1671201	189	62966226	0
V	1671201	2005441	190	63300466	0
