Chromosome	Start	End	Bin	Absolute	ChromoStart
1	1	9622178	1	1	1
1	9622178	19244355	2	9622178	0
1	19244355	28866532	3	19244355	0
1	28866532	38488709	4	28866532	0
1	38488709	48110886	5	38488709	0
1	48110886	57733063	6	48110886	0
1	57733063	67355240	7	57733063	0
1	67355240	76977417	8	67355240	0
1	76977417	86599594	9	76977417	0
1	86599594	96221771	10	86599594	0
1	96221771	105843948	11	96221771	0
1	105843948	115466125	12	105843948	0
1	115466125	125088302	13	115466125	0
1	125088302	134710479	14	125088302	0
1	134710479	144332656	15	134710479	0
1	144332656	153954833	16	144332656	0
1	153954833	163577010	17	153954833	0
1	163577010	173199187	18	163577010	0
1	173199187	182821364	19	173199187	0
1	182821364	192443541	20	182821364	0
1	192443541	202065718	21	192443541	0
1	202065718	211687895	22	202065718	0
1	211687895	221310072	23	211687895	0
1	221310072	229590363	24	221310072	0
2	1	9622178	25	229590364	229590364
2	9622178	19244355	26	239212541	0
2	19244355	28866532	27	248834718	0
2	28866532	38488709	28	258456895	0
2	38488709	48110886	29	268079072	0
2	48110886	57733063	30	277701249	0
2	57733063	67355240	31	287323426	0
2	67355240	76977417	32	296945603	0
2	76977417	86599594	33	306567780	0
2	86599594	96221771	34	316189957	0
2	96221771	105843948	35	325812134	0
2	105843948	115466125	36	335434311	0
2	115466125	125088302	37	345056488	0
2	125088302	134710479	38	354678665	0
2	134710479	144332656	39	364300842	0
2	144332656	153954833	40	373923019	0
2	153954833	163577010	41	383545196	0
2	163577010	173199187	42	393167373	0
2	173199187	182821364	43	402789550	0
2	182821364	192599292	44	412411727	0
3	1	9622178	45	422189656	422189656
3	9622178	19244355	46	431811833	0
3	19244355	28866532	47	441434010	0
3	28866532	38488709	48	451056187	0
3	38488709	48110886	49	460678364	0
3	48110886	57733063	50	470300541	0
3	57733063	67355240	51	479922718	0
3	67355240	76977417	52	489544895	0
3	76977417	86599594	53	499167072	0
3	86599594	96221771	54	508789249	0
3	96221771	105843948	55	518411426	0
3	105843948	115466125	56	528033603	0
3	115466125	125088302	57	537655780	0
3	125088302	134710479	58	547277957	0
3	134710479	144332656	59	556900134	0
3	144332656	153954833	60	566522311	0
3	153954833	163577010	61	576144488	0
3	163577010	173199187	62	585766665	0
3	173199187	182821364	63	595388842	0
3	182821364	192443541	64	605011019	0
3	192443541	198365853	65	614633196	0
4	1	9622178	66	620555509	620555509
4	9622178	19244355	67	630177686	0
4	19244355	28866532	68	639799863	0
4	28866532	38488709	69	649422040	0
4	38488709	48110886	70	659044217	0
4	48110886	57733063	71	668666394	0
4	57733063	67355240	72	678288571	0
4	67355240	76977417	73	687910748	0
4	76977417	86599594	74	697532925	0
4	86599594	96221771	75	707155102	0
4	96221771	105843948	76	716777279	0
4	105843948	115466125	77	726399456	0
4	115466125	125088302	78	736021633	0
