Chromosome	Start	End	Bin	Absolute	ChromoStart
1	1	4523451	1	1	1
1	4523451	9046901	2	4523451	0
1	9046901	13570351	3	9046901	0
1	13570351	18093801	4	13570351	0
1	18093801	22617251	5	18093801	0
1	22617251	27140701	6	22617251	0
1	27140701	31664151	7	27140701	0
1	31664151	36187601	8	31664151	0
1	36187601	40711051	9	36187601	0
1	40711051	45234501	10	40711051	0
1	45234501	49757951	11	45234501	0
1	49757951	54281401	12	49757951	0
1	54281401	60348389	13	54281401	0
2	1	4523451	14	60348390	60348390
2	4523451	9046901	15	64871840	0
2	9046901	13570351	16	69395290	0
2	13570351	18093801	17	73918740	0
2	18093801	22617251	18	78442190	0
2	22617251	27140701	19	82965640	0
2	27140701	31664151	20	87489090	0
2	31664151	36187601	21	92012540	0
2	36187601	40711051	22	96535990	0
2	40711051	45234501	23	101059440	0
2	45234501	49757951	24	105582890	0
2	49757951	54281401	25	110106340	0
2	54281401	58804851	26	114629790	0
2	58804851	60300537	27	119153240	0
3	1	4523451	28	120648927	120648927
3	4523451	9046901	29	125172377	0
3	9046901	13570351	30	129695827	0
3	13570351	18093801	31	134219277	0
3	18093801	22617251	32	138742727	0
3	22617251	27140701	33	143266177	0
3	27140701	31664151	34	147789627	0
3	31664151	36187601	35	152313077	0
3	36187601	40711051	36	156836527	0
3	40711051	45234501	37	161359977	0
3	45234501	49757951	38	165883427	0
3	49757951	54281401	39	170406877	0
3	54281401	58804851	40	174930327	0
3	58804851	63268877	41	179453777	0
4	1	4523451	42	183917804	183917804
4	4523451	9046901	43	188441254	0
4	9046901	13570351	44	192964704	0
4	13570351	18093801	45	197488154	0
4	18093801	22617251	46	202011604	0
4	22617251	27140701	47	206535054	0
4	27140701	31664151	48	211058504	0
4	31664151	36187601	49	215581954	0
4	36187601	40711051	50	220105404	0
4	40711051	45234501	51	224628854	0
4	45234501	49757951	52	229152304	0
4	49757951	54281401	53	233675754	0
4	54281401	58804851	54	238199204	0
4	58804851	62094676	55	242722654	0
5	1	4523451	56	246012480	246012480
5	4523451	9046901	57	250535930	0
5	9046901	13570351	58	255059380	0
5	13570351	18093801	59	259582830	0
5	18093801	22617251	60	264106280	0
5	22617251	27140701	61	268629730	0
5	27140701	31664151	62	273153180	0
5	31664151	36187601	63	277676630	0
5	36187601	40711051	64	282200080	0
5	40711051	45234501	65	286723530	0
5	45234501	49757951	66	291246980	0
5	49757951	54281401	67	295770430	0
5	54281401	58804851	68	300293880	0
5	58804851	63328301	69	304817330	0
5	63328301	67851751	70	309340780	0
5	67851751	75682078	71	313864230	0
6	1	4523451	72	321694558	321694558
6	4523451	9046901	73	326218008	0
6	9046901	13570351	74	330741458	0
6	13570351	18093801	75	335264908	0
6	18093801	22617251	76	339788358	0
6	22617251	27140701	77	344311808	0
6	27140701	31664151	78	348835258	0
6	31664151	36187601	79	353358708	0
6	36187601	40711051	80	357882158	0
6	40711051	45234501	81	362405608	0
6	45234501	49757951	82	366929058	0
6	49757951	54281401	83	371452508	0
6	54281401	59938732	84	375975958	0
7	1	4523451	85	381633290	381633290
7	4523451	9046901	86	386156740	0
7	9046901	13570351	87	390680190	0
7	13570351	18093801	88	395203640	0
7	18093801	22617251	89	399727090	0
7	22617251	27140701	90	404250540	0
7	27140701	31664151	91	408773990	0
7	31664151	36187601	92	413297440	0
7	36187601	40711051	93	417820890	0
7	40711051	45234501	94	422344340	0
7	45234501	49757951	95	426867790	0
7	49757951	54281401	96	431391240	0
7	54281401	58804851	97	435914690	0
7	58804851	63328301	98	440438140	0
7	63328301	67851751	99	444961590	0
7	67851751	72375201	100	449485040	0
7	72375201	76898651	101	454008490	0
7	76898651	77276064	102	458531940	0
8	1	4523451	103	458909354	458909354
8	4523451	9046901	104	463432804	0
8	9046901	13570351	105	467956254	0
8	13570351	18093801	106	472479704	0
8	18093801	22617251	107	477003154	0
8	22617251	27140701	108	481526604	0
8	27140701	31664151	109	486050054	0
8	31664151	36187601	110	490573504	0
8	36187601	40711051	111	495096954	0
8	40711051	45234501	112	499620404	0
8	45234501	49757951	113	504143854	0
8	49757951	54281401	114	508667304	0
8	54281401	56184766	115	513190754	0
9	1	4523451	116	515094120	515094120
9	4523451	9046901	117	519617570	0
9	9046901	13570351	118	524141020	0
9	13570351	18093801	119	528664470	0
9	18093801	22617251	120	533187920	0
9	22617251	27140701	121	537711370	0
9	27140701	31664151	122	542234820	0
9	31664151	36187601	123	546758270	0
9	36187601	40711051	124	551281720	0
9	40711051	45234501	125	555805170	0
9	45234501	49757951	126	560328620	0
9	49757951	58232460	127	564852070	0
10	1	4523451	128	573326580	573326580
10	4523451	9046901	129	577850030	0
10	9046901	13570351	130	582373480	0
10	13570351	18093801	131	586896930	0
10	18093801	22617251	132	591420380	0
10	22617251	27140701	133	595943830	0
10	27140701	31664151	134	600467280	0
10	31664151	36187601	135	604990730	0
10	36187601	40711051	136	609514180	0
10	40711051	46591167	137	614037630	0
11	1	4523451	138	619917747	619917747
11	4523451	9046901	139	624441197	0
11	9046901	13570351	140	628964647	0
11	13570351	18093801	141	633488097	0
11	18093801	22617251	142	638011547	0
11	22617251	27140701	143	642534997	0
11	27140701	31664151	144	647058447	0
11	31664151	36187601	145	651581897	0
11	36187601	40711051	146	656105347	0
11	40711051	46661320	147	660628797	0
12	1	4523451	148	666579067	666579067
12	4523451	9046901	149	671102517	0
12	9046901	13570351	150	675625967	0
12	13570351	18093801	151	680149417	0
12	18093801	22617251	152	684672867	0
12	22617251	27140701	153	689196317	0
12	27140701	31664151	154	693719767	0
12	31664151	36187601	155	698243217	0
12	36187601	40711051	156	702766667	0
12	40711051	45234501	157	707290117	0
12	45234501	49757951	158	711813567	0
12	49757951	50697279	159	716337017	0
13	1	4523451	160	717276346	717276346
13	4523451	9046901	161	721799796	0
13	9046901	13570351	162	726323246	0
13	13570351	18093801	163	730846696	0
13	18093801	22617251	164	735370146	0
13	22617251	27140701	165	739893596	0
13	27140701	31664151	166	744417046	0
13	31664151	36187601	167	748940496	0
13	36187601	40711051	168	753463946	0
13	40711051	45234501	169	757987396	0
13	45234501	49757951	170	762510846	0
13	49757951	54093809	171	767034296	0
14	1	4523451	172	771370155	771370155
14	4523451	9046901	173	775893605	0
14	9046901	13570351	174	780417055	0
14	13570351	18093801	175	784940505	0
14	18093801	22617251	176	789463955	0
14	22617251	27140701	177	793987405	0
14	27140701	31664151	178	798510855	0
14	31664151	36187601	179	803034305	0
14	36187601	40711051	180	807557755	0
14	40711051	45234501	181	812081205	0
14	45234501	49757951	182	816604655	0
14	49757951	53733892	183	821128105	0
15	1	4523451	184	825104047	825104047
15	4523451	9046901	185	829627497	0
15	9046901	13570351	186	834150947	0
15	13570351	18093801	187	838674397	0
15	18093801	22617251	188	843197847	0
15	22617251	27140701	189	847721297	0
15	27140701	31664151	190	852244747	0
15	31664151	36187601	191	856768197	0
15	36187601	40711051	192	861291647	0
15	40711051	45234501	193	865815097	0
15	45234501	47442430	194	870338547	0
16	1	4523451	195	872546477	872546477
16	4523451	9046901	196	877069927	0
16	9046901	13570351	197	881593377	0
16	13570351	18093801	198	886116827	0
16	18093801	22617251	199	890640277	0
16	22617251	27140701	200	895163727	0
16	27140701	31664151	201	899687177	0
16	31664151	36187601	202	904210627	0
16	36187601	40711051	203	908734077	0
16	40711051	45234501	204	913257527	0
16	45234501	49757951	205	917780977	0
16	49757951	54281401	206	922304427	0
16	54281401	58780684	207	926827877	0
17	1	4523451	208	931327161	931327161
17	4523451	9046901	209	935850611	0
17	9046901	13570351	210	940374061	0
17	13570351	18093801	211	944897511	0
17	18093801	22617251	212	949420961	0
17	22617251	27140701	213	953944411	0
17	27140701	31664151	214	958467861	0
17	31664151	36187601	215	962991311	0
17	36187601	40711051	216	967514761	0
17	40711051	45234501	217	972038211	0
17	45234501	53984732	218	976561661	0
18	1	4523451	219	985311893	985311893
18	4523451	9046901	220	989835343	0
18	9046901	13570351	221	994358793	0
18	13570351	18093801	222	998882243	0
18	18093801	22617251	223	1003405693	0
18	22617251	27140701	224	1007929143	0
18	27140701	31664151	225	1012452593	0
18	31664151	36187601	226	1016976043	0
18	36187601	40711051	227	1021499493	0
18	40711051	45234501	228	1026022943	0
18	45234501	49877489	229	1030546393	0
19	1	4523451	230	1035189382	1035189382
19	4523451	9046901	231	1039712832	0
19	9046901	13570351	232	1044236282	0
19	13570351	18093801	233	1048759732	0
19	18093801	22617251	234	1053283182	0
19	22617251	27140701	235	1057806632	0
19	27140701	31664151	236	1062330082	0
19	31664151	36187601	237	1066853532	0
19	36187601	40711051	238	1071376982	0
19	40711051	45234501	239	1075900432	0
19	45234501	50254552	240	1080423882	0
20	1	4523451	241	1085443934	1085443934
20	4523451	9046901	242	1089967384	0
20	9046901	13570351	243	1094490834	0
20	13570351	18093801	244	1099014284	0
20	18093801	22617251	245	1103537734	0
20	22617251	27140701	246	1108061184	0
20	27140701	31664151	247	1112584634	0
20	31664151	36187601	248	1117108084	0
20	36187601	40711051	249	1121631534	0
20	40711051	45234501	250	1126154984	0
20	45234501	49757951	251	1130678434	0
20	49757951	54281401	252	1135201884	0
20	54281401	55952141	253	1139725334	0
21	1	4523451	254	1141396075	1141396075
21	4523451	9046901	255	1145919525	0
21	9046901	13570351	256	1150442975	0
21	13570351	18093801	257	1154966425	0
21	18093801	22617251	258	1159489875	0
21	22617251	27140701	259	1164013325	0
21	27140701	31664151	260	1168536775	0
21	31664151	36187601	261	1173060225	0
21	36187601	44544066	262	1177583675	0
22	1	4523451	263	1185940141	1185940141
22	4523451	9046901	264	1190463591	0
22	9046901	13570351	265	1194987041	0
22	13570351	18093801	266	1199510491	0
22	18093801	22617251	267	1204033941	0
22	22617251	27140701	268	1208557391	0
22	27140701	31664151	269	1213080841	0
22	31664151	36187601	270	1217604291	0
22	36187601	42261001	271	1222127741	0
23	1	4523451	272	1228201142	1228201142
23	4523451	9046901	273	1232724592	0
23	9046901	13570351	274	1237248042	0
23	13570351	18093801	275	1241771492	0
23	18093801	22617251	276	1246294942	0
23	22617251	27140701	277	1250818392	0
23	27140701	31664151	278	1255341842	0
23	31664151	36187601	279	1259865292	0
23	36187601	40711051	280	1264388742	0
23	40711051	45234501	281	1268912192	0
23	45234501	46386877	282	1273435642	0
24	1	4523451	283	1274588019	1274588019
24	4523451	9046901	284	1279111469	0
24	9046901	13570351	285	1283634919	0
24	13570351	18093801	286	1288158369	0
24	18093801	22617251	287	1292681819	0
