Chromosome	Start	End	Bin	Absolute	ChromoStart
1	1	8910472	1	1	1
1	8910472	17820943	2	8910472	0
1	17820943	26731414	3	17820943	0
1	26731414	35641885	4	26731414	0
1	35641885	44552356	5	35641885	0
1	44552356	53462827	6	44552356	0
1	53462827	62373298	7	53462827	0
1	62373298	71283769	8	62373298	0
1	71283769	80194240	9	71283769	0
1	80194240	89104711	10	80194240	0
1	89104711	98015182	11	89104711	0
1	98015182	106925653	12	98015182	0
1	106925653	115836124	13	106925653	0
1	115836124	124746595	14	115836124	0
1	124746595	133657066	15	124746595	0
1	133657066	142567537	16	133657066	0
1	142567537	151478008	17	142567537	0
1	151478008	161428368	18	151478008	0
2	1	8910472	19	161428369	161428369
2	8910472	17820943	20	170338840	0
2	17820943	26731414	21	179249311	0
2	26731414	35641885	22	188159782	0
2	35641885	44552356	23	197070253	0
2	44552356	53462827	24	205980724	0
2	53462827	62373298	25	214891195	0
2	62373298	71283769	26	223801666	0
2	71283769	80194240	27	232712137	0
2	80194240	89104711	28	241622608	0
2	89104711	98015182	29	250533079	0
2	98015182	106925653	30	259443550	0
2	106925653	115836124	31	268354021	0
2	115836124	124746595	32	277264492	0
2	124746595	133657066	33	286174963	0
2	133657066	141965564	34	295085434	0
3	1	8910472	35	303393933	303393933
3	8910472	17820943	36	312304404	0
3	17820943	26731414	37	321214875	0
3	26731414	35641885	38	330125346	0
3	35641885	44552356	39	339035817	0
3	44552356	53462827	40	347946288	0
3	53462827	62373298	41	356856759	0
3	62373298	71283769	42	365767230	0
3	71283769	80194240	43	374677701	0
3	80194240	89104711	44	383588172	0
3	89104711	98015182	45	392498643	0
3	98015182	106925653	46	401409114	0
3	106925653	115836124	47	410319585	0
3	115836124	126844712	48	419230056	0
4	1	8910472	49	430238645	430238645
4	8910472	17820943	50	439149116	0
4	17820943	26731414	51	448059587	0
4	26731414	35641885	52	456970058	0
4	35641885	44552356	53	465880529	0
4	44552356	53462827	54	474791000	0
4	53462827	62373298	55	483701471	0
4	62373298	71283769	56	492611942	0
4	71283769	80194240	57	501522413	0
4	80194240	89104711	58	510432884	0
4	89104711	98015182	59	519343355	0
4	98015182	106925653	60	528253826	0
4	106925653	115836124	61	537164297	0
4	115836124	123809851	62	546074768	0
5	1	8910472	63	554048496	554048496
5	8910472	17820943	64	562958967	0
5	17820943	26731414	65	571869438	0
5	26731414	35641885	66	580779909	0
5	35641885	44552356	67	589690380	0
5	44552356	53462827	68	598600851	0
5	53462827	62373298	69	607511322	0
5	62373298	71283769	70	616421793	0
5	71283769	80194240	71	625332264	0
5	80194240	89104711	72	634242735	0
5	89104711	98015182	73	643153206	0
5	98015182	106925653	74	652063677	0
5	106925653	115836124	75	660974148	0
5	115836124	125249323	76	669884619	0
6	1	8910472	77	679297819	679297819
6	8910472	17820943	78	688208290	0
6	17820943	26731414	79	697118761	0
6	26731414	35641885	80	706029232	0
6	35641885	44552356	81	714939703	0
6	44552356	53462827	82	723850174	0
6	53462827	62373298	83	732760645	0
6	62373298	71283769	84	741671116	0
6	71283769	80194240	85	750581587	0
6	80194240	89104711	86	759492058	0
6	89104711	98015182	87	768402529	0
6	98015182	106925653	88	777313000	0
6	106925653	115836124	89	786223471	0
6	115836124	122519026	90	795133942	0
7	1	8910472	91	801816845	801816845
7	8910472	17820943	92	810727316	0
7	17820943	26731414	93	819637787	0
7	26731414	35641885	94	828548258	0
7	35641885	44552356	95	837458729	0
7	44552356	53462827	96	846369200	0
7	53462827	62373298	97	855279671	0
7	62373298	71283769	98	864190142	0
7	71283769	80194240	99	873100613	0
7	80194240	89104711	100	882011084	0
7	89104711	98015182	101	890921555	0
7	98015182	106925653	102	899832026	0
