Chromosome	Start	End	Bin	Absolute	ChromoStart
1	1	7492508	1	1	1
1	7492508	14985015	2	7492508	0
1	14985015	22477522	3	14985015	0
1	22477522	29970029	4	22477522	0
1	29970029	37462536	5	29970029	0
1	37462536	44955043	6	37462536	0
1	44955043	52447550	7	44955043	0
1	52447550	59940057	8	52447550	0
1	59940057	67432564	9	59940057	0
1	67432564	74925071	10	67432564	0
1	74925071	82417578	11	74925071	0
1	82417578	89910085	12	82417578	0
1	89910085	97402592	13	89910085	0
1	97402592	104895099	14	97402592	0
1	104895099	112387606	15	104895099	0
1	112387606	119880113	16	112387606	0
1	119880113	127372620	17	119880113	0
1	127372620	134865127	18	127372620	0
1	134865127	142357634	19	134865127	0
1	142357634	149850141	20	142357634	0
1	149850141	157342648	21	149850141	0
1	157342648	164835155	22	157342648	0
1	164835155	172327662	23	164835155	0
1	172327662	179820169	24	172327662	0
1	179820169	187312676	25	179820169	0
1	187312676	194850758	26	187312676	0
2	1	7492508	27	194850759	194850759
2	7492508	14985015	28	202343266	0
2	14985015	22477522	29	209835773	0
2	22477522	29970029	30	217328280	0
2	29970029	37462536	31	224820787	0
2	37462536	44955043	32	232313294	0
2	44955043	52447550	33	239805801	0
2	52447550	59940057	34	247298308	0
2	59940057	67432564	35	254790815	0
2	67432564	74925071	36	262283322	0
2	74925071	82417578	37	269775829	0
2	82417578	89910085	38	277268336	0
2	89910085	97402592	39	284760843	0
2	97402592	104895099	40	292253350	0
2	104895099	112387606	41	299745857	0
2	112387606	119880113	42	307238364	0
2	119880113	127372620	43	314730871	0
2	127372620	134865127	44	322223378	0
2	134865127	142357634	45	329715885	0
2	142357634	149850141	46	337208392	0
2	149850141	157342648	47	344700899	0
2	157342648	164835155	48	352193406	0
2	164835155	174332313	49	359685913	0
3	1	7492508	50	369183072	369183072
3	7492508	14985015	51	376675579	0
3	14985015	22477522	52	384168086	0
3	22477522	29970029	53	391660593	0
3	29970029	37462536	54	399153100	0
3	37462536	44955043	55	406645607	0
3	44955043	52447550	56	414138114	0
3	52447550	59940057	57	421630621	0
3	59940057	67432564	58	429123128	0
3	67432564	74925071	59	436615635	0
3	74925071	82417578	60	444108142	0
3	82417578	89910085	61	451600649	0
3	89910085	97402592	62	459093156	0
3	97402592	104895099	63	466585663	0
3	104895099	112387606	64	474078170	0
3	112387606	119880113	65	481570677	0
3	119880113	127372620	66	489063184	0
3	127372620	134865127	67	496555691	0
3	134865127	142357634	68	504048198	0
3	142357634	149850141	69	511540705	0
3	149850141	155691106	70	519033212	0
4	1	7492508	71	524874178	524874178
4	7492508	14985015	72	532366685	0
4	14985015	22477522	73	539859192	0
4	22477522	29970029	74	547351699	0
4	29970029	37462536	75	554844206	0
4	37462536	44955043	76	562336713	0
