Chromosome	Start	End	Bin	Absolute	ChromoStart
1	1	9725624	1	1	1
1	9725624	19451247	2	9725624	0
1	19451247	29176870	3	19451247	0
1	29176870	38902493	4	29176870	0
1	38902493	48628116	5	38902493	0
1	48628116	58353739	6	48628116	0
1	58353739	68079362	7	58353739	0
1	68079362	77804985	8	68079362	0
1	77804985	87530608	9	77804985	0
1	87530608	97256231	10	87530608	0
1	97256231	106981854	11	97256231	0
1	106981854	116707477	12	106981854	0
1	116707477	126433100	13	116707477	0
1	126433100	136158723	14	126433100	0
1	136158723	145884346	15	136158723	0
1	145884346	155609969	16	145884346	0
1	155609969	165335592	17	155609969	0
1	165335592	175061215	18	165335592	0
1	175061215	184786838	19	175061215	0
1	184786838	194512461	20	184786838	0
1	194512461	204238084	21	194512461	0
1	204238084	213963707	22	204238084	0
1	213963707	223689330	23	213963707	0
1	223689330	229507204	24	223689330	0
2A	1	9725624	25	229507205	229507205
2A	9725624	19451247	26	239232828	0
2A	19451247	29176870	27	248958451	0
2A	29176870	38902493	28	258684074	0
2A	38902493	48628116	29	268409697	0
2A	48628116	58353739	30	278135320	0
2A	58353739	68079362	31	287860943	0
2A	68079362	77804985	32	297586566	0
2A	77804985	87530608	33	307312189	0
2A	87530608	97256231	34	317037812	0
2A	97256231	111351969	35	326763435	0
2B	1	9725624	36	340859174	340859174
2B	9725624	19451247	37	350584797	0
2B	19451247	29176870	38	360310420	0
2B	29176870	38902493	39	370036043	0
2B	38902493	48628116	40	379761666	0
2B	48628116	58353739	41	389487289	0
2B	58353739	68079362	42	399212912	0
2B	68079362	77804985	43	408938535	0
2B	77804985	87530608	44	418664158	0
2B	87530608	97256231	45	428389781	0
2B	97256231	106981854	46	438115404	0
2B	106981854	116707477	47	447841027	0
2B	116707477	131632458	48	457566650	0
3	1	9725624	49	472491632	472491632
3	9725624	19451247	50	482217255	0
3	19451247	29176870	51	491942878	0
3	29176870	38902493	52	501668501	0
3	38902493	48628116	53	511394124	0
3	48628116	58353739	54	521119747	0
3	58353739	68079362	55	530845370	0
3	68079362	77804985	56	540570993	0
3	77804985	87530608	57	550296616	0
3	87530608	97256231	58	560022239	0
3	97256231	106981854	59	569747862	0
3	106981854	116707477	60	579473485	0
3	116707477	126433100	61	589199108	0
3	126433100	136158723	62	598924731	0
3	136158723	145884346	63	608650354	0
3	145884346	155609969	64	618375977	0
3	155609969	165335592	65	628101600	0
3	165335592	175061215	66	637827223	0
3	175061215	184786838	67	647552846	0
3	184786838	194512461	68	657278469	0
3	194512461	199944511	69	667004092	0
4	1	9725624	70	672436143	672436143
4	9725624	19451247	71	682161766	0
4	19451247	29176870	72	691887389	0
4	29176870	38902493	73	701613012	0
4	38902493	48628116	74	711338635	0
4	48628116	58353739	75	721064258	0
4	58353739	68079362	76	730789881	0
4	68079362	77804985	77	740515504	0
4	77804985	87530608	78	750241127	0
4	87530608	97256231	79	759966750	0
4	97256231	106981854	80	769692373	0
4	106981854	116707477	81	779417996	0
4	116707477	126433100	82	789143619	0
4	126433100	136158723	83	798869242	0
4	136158723	145884346	84	808594865	0
4	145884346	155609969	85	818320488	0
4	155609969	165335592	86	828046111	0
4	165335592	175061215	87	837771734	0
4	175061215	184786838	88	847497357	0
4	184786838	194512461	89	857222980	0
4	194512461	201139531	90	866948603	0
5	1	9725624	91	873575674	873575674
5	9725624	19451247	92	883301297	0
5	19451247	29176870	93	893026920	0
5	29176870	38902493	94	902752543	0
5	38902493	48628116	95	912478166	0
5	48628116	58353739	96	922203789	0
5	58353739	68079362	97	931929412	0
5	68079362	77804985	98	941655035	0
5	77804985	87530608	99	951380658	0
5	87530608	97256231	100	961106281	0
5	97256231	106981854	101	970831904	0
5	106981854	116707477	102	980557527	0
5	116707477	126433100	103	990283150	0
5	126433100	136158723	104	1000008773	0
5	136158723	145884346	105	1009734396	0
5	145884346	155609969	106	1019460019	0
5	155609969	165930987	107	1029185642	0
6	1	9725624	108	1039506661	1039506661
6	9725624	19451247	109	1049232284	0
6	19451247	29176870	110	1058957907	0
6	29176870	38902493	111	1068683530	0
6	38902493	48628116	112	1078409153	0
6	48628116	58353739	113	1088134776	0
6	58353739	68079362	114	1097860399	0
6	68079362	77804985	115	1107586022	0
6	77804985	87530608	116	1117311645	0
6	87530608	97256231	117	1127037268	0
6	97256231	106981854	118	1136762891	0
6	106981854	116707477	119	1146488514	0
6	116707477	126433100	120	1156214137	0
6	126433100	136158723	121	1165939760	0
6	136158723	145884346	122	1175665383	0
6	145884346	155609969	123	1185391006	0
6	155609969	165335592	124	1195116629	0
6	165335592	171703153	125	1204842252	0
7	1	9725624	126	1211209814	1211209814
7	9725624	19451247	127	1220935437	0
7	19451247	29176870	128	1230661060	0
7	29176870	38902493	129	1240386683	0
7	38902493	48628116	130	1250112306	0
7	48628116	58353739	131	1259837929	0
7	58353739	68079362	132	1269563552	0
7	68079362	77804985	133	1279289175	0
7	77804985	87530608	134	1289014798	0
7	87530608	97256231	135	1298740421	0
7	97256231	106981854	136	1308466044	0
7	106981854	116707477	137	1318191667	0
7	116707477	126433100	138	1327917290	0
7	126433100	136158723	139	1337642913	0
7	136158723	145884346	140	1347368536	0
7	145884346	158137893	141	1357094159	0
8	1	9725624	142	1369347707	1369347707
8	9725624	19451247	143	1379073330	0
8	19451247	29176870	144	1388798953	0
8	29176870	38902493	145	1398524576	0
8	38902493	48628116	146	1408250199	0
8	48628116	58353739	147	1417975822	0
8	58353739	68079362	148	1427701445	0
8	68079362	77804985	149	1437427068	0
8	77804985	87530608	150	1447152691	0
8	87530608	97256231	151	1456878314	0
8	97256231	106981854	152	1466603937	0
8	106981854	116707477	153	1476329560	0
8	116707477	126433100	154	1486055183	0
8	126433100	136158723	155	1495780806	0
8	136158723	145327773	156	1505506429	0
9	1	9725624	157	1514675480	1514675480
9	9725624	19451247	158	1524401103	0
9	19451247	29176870	159	1534126726	0
9	29176870	38902493	160	1543852349	0
9	38902493	48628116	161	1553577972	0
9	48628116	58353739	162	1563303595	0
9	58353739	68079362	163	1573029218	0
9	68079362	77804985	164	1582754841	0
9	77804985	87530608	165	1592480464	0
9	87530608	97256231	166	1602206087	0
9	97256231	106981854	167	1611931710	0
9	106981854	121947113	168	1621657333	0
10	1	9725624	169	1636622593	1636622593
10	9725624	19451247	170	1646348216	0
10	19451247	29176870	171	1656073839	0
10	29176870	38902493	172	1665799462	0
10	38902493	48628116	173	1675525085	0
10	48628116	58353739	174	1685250708	0
10	58353739	68079362	175	1694976331	0
10	68079362	77804985	176	1704701954	0
10	77804985	87530608	177	1714427577	0
10	87530608	97256231	178	1724153200	0
10	97256231	106981854	179	1733878823	0
10	106981854	116707477	180	1743604446	0
10	116707477	126433100	181	1753330069	0
10	126433100	136158723	182	1763055692	0
10	136158723	147764050	183	1772781315	0
11	1	9725624	184	1784386643	1784386643
11	9725624	19451247	185	1794112266	0
11	19451247	29176870	186	1803837889	0
11	29176870	38902493	187	1813563512	0
11	38902493	48628116	188	1823289135	0
11	48628116	58353739	189	1833014758	0
11	58353739	68079362	190	1842740381	0
11	68079362	77804985	191	1852466004	0
11	77804985	87530608	192	1862191627	0
11	87530608	97256231	193	1871917250	0
11	97256231	106981854	194	1881642873	0
11	106981854	116707477	195	1891368496	0
11	116707477	126433100	196	1901094119	0
11	126433100	133470887	197	1910819742	0
12	1	9725624	198	1917857530	1917857530
12	9725624	19451247	199	1927583153	0
12	19451247	29176870	200	1937308776	0
12	29176870	38902493	201	1947034399	0
12	38902493	48628116	202	1956760022	0
12	48628116	58353739	203	1966485645	0
12	58353739	68079362	204	1976211268	0
12	68079362	77804985	205	1985936891	0
12	77804985	87530608	206	1995662514	0
12	87530608	97256231	207	2005388137	0
12	97256231	106981854	208	2015113760	0
