Chromosome	Start	End	Bin	Absolute	ChromoStart
1	1	7890179	1	1	1
1	7890179	15780357	2	7890179	0
1	15780357	23670535	3	15780357	0
1	23670535	31560713	4	23670535	0
1	31560713	39450891	5	31560713	0
1	39450891	47341069	6	39450891	0
1	47341069	55231247	7	47341069	0
1	55231247	63121425	8	55231247	0
1	63121425	71011603	9	63121425	0
1	71011603	78901781	10	71011603	0
1	78901781	86791959	11	78901781	0
1	86791959	94682137	12	86791959	0
1	94682137	102572315	13	94682137	0
1	102572315	110462493	14	102572315	0
1	110462493	118352671	15	110462493	0
1	118352671	126242849	16	118352671	0
1	126242849	134133027	17	126242849	0
1	134133027	142023205	18	134133027	0
1	142023205	149913383	19	142023205	0
1	149913383	157803561	20	149913383	0
1	157803561	165693739	21	157803561	0
1	165693739	173583917	22	165693739	0
1	173583917	181474095	23	173583917	0
1	181474095	185838110	24	181474095	0
2	1	7890179	25	185838111	185838111
2	7890179	15780357	26	193728289	0
2	15780357	23670535	27	201618467	0
2	23670535	31560713	28	209508645	0
2	31560713	39450891	29	217398823	0
2	39450891	47341069	30	225289001	0
2	47341069	55231247	31	233179179	0
2	55231247	63121425	32	241069357	0
2	63121425	71011603	33	248959535	0
2	71011603	78901781	34	256849713	0
2	78901781	86791959	35	264739891	0
2	86791959	94682137	36	272630069	0
2	94682137	102572315	37	280520247	0
2	102572315	110462493	38	288410425	0
2	110462493	120857688	39	296300603	0
3	1	7890179	40	306695799	306695799
3	7890179	15780357	41	314585977	0
3	15780357	23670535	42	322476155	0
3	23670535	31560713	43	330366333	0
3	31560713	39450891	44	338256511	0
3	39450891	47341069	45	346146689	0
3	47341069	55231247	46	354036867	0
3	55231247	63121425	47	361927045	0
3	63121425	71011603	48	369817223	0
3	71011603	78901781	49	377707401	0
3	78901781	86791959	50	385597579	0
3	86791959	94682137	51	393487757	0
3	94682137	102572315	52	401377935	0
3	102572315	110462493	53	409268113	0
3	110462493	119479921	54	417158291	0
4	1	7890179	55	426175720	426175720
4	7890179	15780357	56	434065898	0
4	15780357	23670535	57	441956076	0
4	23670535	31560713	58	449846254	0
4	31560713	39450891	59	457736432	0
4	39450891	47341069	60	465626610	0
4	47341069	55231247	61	473516788	0
4	55231247	63121425	62	481406966	0
4	63121425	71011603	63	489297144	0
4	71011603	78901781	64	497187322	0
4	78901781	86791959	65	505077500	0
4	86791959	94682137	66	512967678	0
4	94682137	102572315	67	520857856	0
4	102572315	108569076	68	528748034	0
5	1	7890179	69	534744796	534744796
5	7890179	15780357	70	542634974	0
5	15780357	23670535	71	550525152	0
5	23670535	31560713	72	558415330	0
5	31560713	39450891	73	566305508	0
5	39450891	47341069	74	574195686	0
5	47341069	55231247	75	582085864	0
5	55231247	63121425	76	589976042	0
5	63121425	71011603	77	597866220	0
5	71011603	78901781	78	605756398	0
5	78901781	86791959	79	613646576	0
5	86791959	94682137	80	621536754	0
5	94682137	99680357	81	629426932	0
6	1	7890179	82	634425153	634425153
6	7890179	15780357	83	642315331	0
6	15780357	23670535	84	650205509	0
6	23670535	31560713	85	658095687	0
6	31560713	39450891	86	665985865	0
6	39450891	47341069	87	673876043	0
6	47341069	55231247	88	681766221	0
6	55231247	63121425	89	689656399	0
6	63121425	71011603	90	697546577	0
6	71011603	78901781	91	705436755	0
6	78901781	84719077	92	713326933	0
7	1	7890179	93	719144230	719144230
7	7890179	15780357	94	727034408	0
7	15780357	23670535	95	734924586	0
7	23670535	31560713	96	742814764	0
7	31560713	39450891	97	750704942	0
7	39450891	47341069	98	758595120	0
7	47341069	55231247	99	766485298	0
7	55231247	63121425	100	774375476	0
7	63121425	71011603	101	782265654	0
7	71011603	78901781	102	790155832	0
7	78901781	86791959	103	798046010	0
7	86791959	98542429	104	805936188	0
8	1	7890179	105	817686659	817686659
8	7890179	15780357	106	825576837	0
