Chromosome	Start	End	Bin	Absolute	ChromoStart
I	1	40238	1	1	1
I	40238	80475	2	40238	0
I	80475	120712	3	80475	0
I	120712	160949	4	120712	0
I	160949	201186	5	160949	0
I	201186	230219	6	201186	0
II	1	40238	7	230220	230220
II	40238	80475	8	270457	0
II	80475	120712	9	310694	0
II	120712	160949	10	350931	0
II	160949	201186	11	391168	0
II	201186	241423	12	431405	0
II	241423	281660	13	471642	0
II	281660	321897	14	511879	0
II	321897	362134	15	552116	0
II	362134	402371	16	592353	0
II	402371	442608	17	632590	0
II	442608	482845	18	672827	0
II	482845	523082	19	713064	0
II	523082	563319	20	753301	0
II	563319	603556	21	793538	0
II	603556	643793	22	833775	0
II	643793	684030	23	874012	0
II	684030	724267	24	914249	0
II	724267	764504	25	954486	0
II	764504	813185	26	994723	0
III	1	40238	27	1043405	1043405
III	40238	80475	28	1083642	0
III	80475	120712	29	1123879	0
III	120712	160949	30	1164116	0
III	160949	201186	31	1204353	0
III	201186	241423	32	1244590	0
III	241423	281660	33	1284827	0
III	281660	316621	34	1325064	0
IV	1	40238	35	1360026	1360026
IV	40238	80475	36	1400263	0
IV	80475	120712	37	1440500	0
IV	120712	160949	38	1480737	0
IV	160949	201186	39	1520974	0
IV	201186	241423	40	1561211	0
IV	241423	281660	41	1601448	0
IV	281660	321897	42	1641685	0
IV	321897	362134	43	1681922	0
IV	362134	402371	44	1722159	0
IV	402371	442608	45	1762396	0
IV	442608	482845	46	1802633	0
IV	482845	523082	47	1842870	0
IV	523082	563319	48	1883107	0
IV	563319	603556	49	1923344	0
IV	603556	643793	50	1963581	0
IV	643793	684030	51	2003818	0
IV	684030	724267	52	2044055	0
IV	724267	764504	53	2084292	0
IV	764504	804741	54	2124529	0
IV	804741	844978	55	2164766	0
IV	844978	885215	56	2205003	0
IV	885215	925452	57	2245240	0
IV	925452	965689	58	2285477	0
IV	965689	1005926	59	2325714	0
IV	1005926	1046163	60	2365951	0
IV	1046163	1086400	61	2406188	0
IV	1086400	1126637	62	2446425	0
IV	1126637	1166874	63	2486662	0
IV	1166874	1207111	64	2526899	0
IV	1207111	1247348	65	2567136	0
IV	1247348	1287585	66	2607373	0
IV	1287585	1327822	67	2647610	0
IV	1327822	1368059	68	2687847	0
IV	1368059	1408296	69	2728084	0
IV	1408296	1448533	70	2768321	0
IV	1448533	1488770	71	2808558	0
IV	1488770	1531934	72	2848795	0
V	1	40238	73	2891960	2891960
V	40238	80475	74	2932197	0
V	80475	120712	75	2972434	0
V	120712	160949	76	3012671	0
V	160949	201186	77	3052908	0
V	201186	241423	78	3093145	0
V	241423	281660	79	3133382	0
V	281660	321897	80	3173619	0
V	321897	362134	81	3213856	0
V	362134	402371	82	3254093	0
V	402371	442608	83	3294330	0
V	442608	482845	84	3334567	0
V	482845	523082	85	3374804	0
V	523082	576875	86	3415041	0
VI	1	40238	87	3468835	3468835
VI	40238	80475	88	3509072	0
VI	80475	120712	89	3549309	0
VI	120712	160949	90	3589546	0
VI	160949	201186	91	3629783	0
VI	201186	241423	92	3670020	0
VI	241423	270162	93	3710257	0
VII	1	40238	94	3738997	3738997
VII	40238	80475	95	3779234	0
VII	80475	120712	96	3819471	0
VII	120712	160949	97	3859708	0
VII	160949	201186	98	3899945	0
VII	201186	241423	99	3940182	0
VII	241423	281660	100	3980419	0
VII	281660	321897	101	4020656	0
VII	321897	362134	102	4060893	0
VII	362134	402371	103	4101130	0
VII	402371	442608	104	4141367	0
VII	442608	482845	105	4181604	0
VII	482845	523082	106	4221841	0
VII	523082	563319	107	4262078	0
VII	563319	603556	108	4302315	0
VII	603556	643793	109	4342552	0
VII	643793	684030	110	4382789	0
VII	684030	724267	111	4423026	0
VII	724267	764504	112	4463263	0
VII	764504	804741	113	4503500	0
VII	804741	844978	114	4543737	0
VII	844978	885215	115	4583974	0
VII	885215	925452	116	4624211	0
VII	925452	965689	117	4664448	0
VII	965689	1005926	118	4704685	0
VII	1005926	1046163	119	4744922	0
VII	1046163	1090941	120	4785159	0
VIII	1	40238	121	4829938	4829938
VIII	40238	80475	122	4870175	0
VIII	80475	120712	123	4910412	0
VIII	120712	160949	124	4950649	0
VIII	160949	201186	125	4990886	0
VIII	201186	241423	126	5031123	0
VIII	241423	281660	127	5071360	0
VIII	281660	321897	128	5111597	0
VIII	321897	362134	129	5151834	0
VIII	362134	402371	130	5192071	0
VIII	402371	442608	131	5232308	0
VIII	442608	482845	132	5272545	0
VIII	482845	523082	133	5312782	0
VIII	523082	562644	134	5353019	0
IX	1	40238	135	5392582	5392582
IX	40238	80475	136	5432819	0
