Chromosome	Start	End	Bin	Absolute	ChromoStart
1	1	9085072	1	1	1
1	9085072	18170143	2	9085072	0
1	18170143	27255214	3	18170143	0
1	27255214	36340285	4	27255214	0
1	36340285	45425356	5	36340285	0
1	45425356	54510427	6	45425356	0
1	54510427	63595498	7	54510427	0
1	63595498	72680569	8	63595498	0
1	72680569	81765640	9	72680569	0
1	81765640	90850711	10	81765640	0
1	90850711	99935782	11	90850711	0
1	99935782	109020853	12	99935782	0
1	109020853	118105924	13	109020853	0
1	118105924	127190995	14	118105924	0
1	127190995	136276066	15	127190995	0
1	136276066	145361137	16	136276066	0
1	145361137	154446208	17	145361137	0
1	154446208	163531279	18	154446208	0
1	163531279	172616350	19	163531279	0
1	172616350	181701421	20	172616350	0
1	181701421	190786492	21	181701421	0
1	190786492	195471972	22	190786492	0
2	1	9085072	23	195471973	195471973
2	9085072	18170143	24	204557044	0
2	18170143	27255214	25	213642115	0
2	27255214	36340285	26	222727186	0
2	36340285	45425356	27	231812257	0
2	45425356	54510427	28	240897328	0
2	54510427	63595498	29	249982399	0
2	63595498	72680569	30	259067470	0
2	72680569	81765640	31	268152541	0
2	81765640	90850711	32	277237612	0
2	90850711	99935782	33	286322683	0
2	99935782	109020853	34	295407754	0
2	109020853	118105924	35	304492825	0
2	118105924	127190995	36	313577896	0
2	127190995	136276066	37	322662967	0
2	136276066	145361137	38	331748038	0
2	145361137	154446208	39	340833109	0
2	154446208	163531279	40	349918180	0
2	163531279	172616350	41	359003251	0
2	172616350	182113225	42	368088322	0
3	1	9085072	43	377585198	377585198
3	9085072	18170143	44	386670269	0
3	18170143	27255214	45	395755340	0
3	27255214	36340285	46	404840411	0
3	36340285	45425356	47	413925482	0
3	45425356	54510427	48	423010553	0
3	54510427	63595498	49	432095624	0
3	63595498	72680569	50	441180695	0
3	72680569	81765640	51	450265766	0
3	81765640	90850711	52	459350837	0
3	90850711	99935782	53	468435908	0
3	99935782	109020853	54	477520979	0
3	109020853	118105924	55	486606050	0
3	118105924	127190995	56	495691121	0
3	127190995	136276066	57	504776192	0
3	136276066	145361137	58	513861263	0
3	145361137	154446208	59	522946334	0
3	154446208	160039681	60	532031405	0
4	1	9085072	61	537624879	537624879
4	9085072	18170143	62	546709950	0
4	18170143	27255214	63	555795021	0
4	27255214	36340285	64	564880092	0
4	36340285	45425356	65	573965163	0
4	45425356	54510427	66	583050234	0
4	54510427	63595498	67	592135305	0
4	63595498	72680569	68	601220376	0
4	72680569	81765640	69	610305447	0
4	81765640	90850711	70	619390518	0
4	90850711	99935782	71	628475589	0
4	99935782	109020853	72	637560660	0
4	109020853	118105924	73	646645731	0
4	118105924	127190995	74	655730802	0
4	127190995	136276066	75	664815873	0
4	136276066	145361137	76	673900944	0
4	145361137	156508117	77	682986015	0
5	1	9085072	78	694132996	694132996
5	9085072	18170143	79	703218067	0
5	18170143	27255214	80	712303138	0
5	27255214	36340285	81	721388209	0
5	36340285	45425356	82	730473280	0
5	45425356	54510427	83	739558351	0
5	54510427	63595498	84	748643422	0
5	63595498	72680569	85	757728493	0
5	72680569	81765640	86	766813564	0
5	81765640	90850711	87	775898635	0
5	90850711	99935782	88	784983706	0
5	99935782	109020853	89	794068777	0
5	109020853	118105924	90	803153848	0
5	118105924	127190995	91	812238919	0
5	127190995	136276066	92	821323990	0
5	136276066	145361137	93	830409061	0
5	145361137	151834685	94	839494132	0
6	1	9085072	95	845967681	845967681
6	9085072	18170143	96	855052752	0
6	18170143	27255214	97	864137823	0
6	27255214	36340285	98	873222894	0
6	36340285	45425356	99	882307965	0
6	45425356	54510427	100	891393036	0
6	54510427	63595498	101	900478107	0
6	63595498	72680569	102	909563178	0
6	72680569	81765640	103	918648249	0
6	81765640	90850711	104	927733320	0
6	90850711	99935782	105	936818391	0
6	99935782	109020853	106	945903462	0
6	109020853	118105924	107	954988533	0
6	118105924	127190995	108	964073604	0
6	127190995	136276066	109	973158675	0
6	136276066	145361137	110	982243746	0
6	145361137	149736547	111	991328817	0
7	1	9085072	112	995704228	995704228
7	9085072	18170143	113	1004789299	0
7	18170143	27255214	114	1013874370	0
7	27255214	36340285	115	1022959441	0
7	36340285	45425356	116	1032044512	0
7	45425356	54510427	117	1041129583	0
7	54510427	63595498	118	1050214654	0
7	63595498	72680569	119	1059299725	0
7	72680569	81765640	120	1068384796	0
7	81765640	90850711	121	1077469867	0
7	90850711	99935782	122	1086554938	0
7	99935782	109020853	123	1095640009	0
7	109020853	118105924	124	1104725080	0
7	118105924	127190995	125	1113810151	0
7	127190995	136276066	126	1122895222	0
7	136276066	145441460	127	1131980293	0
8	1	9085072	128	1141145688	1141145688
8	9085072	18170143	129	1150230759	0
8	18170143	27255214	130	1159315830	0
8	27255214	36340285	131	1168400901	0
8	36340285	45425356	132	1177485972	0
8	45425356	54510427	133	1186571043	0
8	54510427	63595498	134	1195656114	0
8	63595498	72680569	135	1204741185	0
8	72680569	81765640	136	1213826256	0
8	81765640	90850711	137	1222911327	0
8	90850711	99935782	138	1231996398	0
8	99935782	109020853	139	1241081469	0
8	109020853	118105924	140	1250166540	0
8	118105924	129401214	141	1259251611	0
9	1	9085072	142	1270546902	1270546902
9	9085072	18170143	143	1279631973	0
9	18170143	27255214	144	1288717044	0
9	27255214	36340285	145	1297802115	0
9	36340285	45425356	146	1306887186	0
9	45425356	54510427	147	1315972257	0
9	54510427	63595498	148	1325057328	0
9	63595498	72680569	149	1334142399	0
9	72680569	81765640	150	1343227470	0
9	81765640	90850711	151	1352312541	0
9	90850711	99935782	152	1361397612	0
9	99935782	109020853	153	1370482683	0
9	109020853	118105924	154	1379567754	0
9	118105924	124595111	155	1388652825	0
10	1	9085072	156	1395142013	1395142013
10	9085072	18170143	157	1404227084	0
10	18170143	27255214	158	1413312155	0
10	27255214	36340285	159	1422397226	0
10	36340285	45425356	160	1431482297	0
10	45425356	54510427	161	1440567368	0
10	54510427	63595498	162	1449652439	0
10	63595498	72680569	163	1458737510	0
10	72680569	81765640	164	1467822581	0
10	81765640	90850711	165	1476907652	0
10	90850711	99935782	166	1485992723	0
10	99935782	109020853	167	1495077794	0
10	109020853	118105924	168	1504162865	0
10	118105924	130694994	169	1513247936	0
11	1	9085072	170	1525837007	1525837007
11	9085072	18170143	171	1534922078	0
11	18170143	27255214	172	1544007149	0
11	27255214	36340285	173	1553092220	0
11	36340285	45425356	174	1562177291	0
11	45425356	54510427	175	1571262362	0
11	54510427	63595498	176	1580347433	0
11	63595498	72680569	177	1589432504	0
11	72680569	81765640	178	1598517575	0
11	81765640	90850711	179	1607602646	0
11	90850711	99935782	180	1616687717	0
