Chromosome	Start	End	Bin	Absolute	ChromoStart
1	1	9675297	1	1	1
1	9675297	19350593	2	9675297	0
1	19350593	29025889	3	19350593	0
1	29025889	38701185	4	29025889	0
1	38701185	48376481	5	38701185	0
1	48376481	58051777	6	48376481	0
1	58051777	67727073	7	58051777	0
1	67727073	77402369	8	67727073	0
1	77402369	87077665	9	77402369	0
1	87077665	96752961	10	87077665	0
1	96752961	106428257	11	96752961	0
1	106428257	116103553	12	106428257	0
1	116103553	125778849	13	116103553	0
1	125778849	135454145	14	125778849	0
1	135454145	145129441	15	135454145	0
1	145129441	154804737	16	145129441	0
1	154804737	164480033	17	154804737	0
1	164480033	174155329	18	164480033	0
1	174155329	183830625	19	174155329	0
1	183830625	193505921	20	183830625	0
1	193505921	203181217	21	193505921	0
1	203181217	212856513	22	203181217	0
1	212856513	222531809	23	212856513	0
1	222531809	232207105	24	222531809	0
1	232207105	241882401	25	232207105	0
1	241882401	251557697	26	241882401	0
1	251557697	261232993	27	251557697	0
1	261232993	270908289	28	261232993	0
1	270908289	280583585	29	270908289	0
1	280583585	290094217	30	280583585	0
2	1	9675297	31	290094218	290094218
2	9675297	19350593	32	299769514	0
2	19350593	29025889	33	309444810	0
2	29025889	38701185	34	319120106	0
2	38701185	48376481	35	328795402	0
2	48376481	58051777	36	338470698	0
2	58051777	67727073	37	348145994	0
2	67727073	77402369	38	357821290	0
2	77402369	87077665	39	367496586	0
2	87077665	96752961	40	377171882	0
2	96752961	106428257	41	386847178	0
2	106428257	116103553	42	396522474	0
2	116103553	125778849	43	406197770	0
2	125778849	135454145	44	415873066	0
2	135454145	145129441	45	425548362	0
2	145129441	154804737	46	435223658	0
2	154804737	164480033	47	444898954	0
2	164480033	174155329	48	454574250	0
2	174155329	183830625	49	464249546	0
2	183830625	193505921	50	473924842	0
2	193505921	203181217	51	483600138	0
2	203181217	212856513	52	493275434	0
2	212856513	222531809	53	502950730	0
2	222531809	232207105	54	512626026	0
2	232207105	241882401	55	522301322	0
2	241882401	251557697	56	531976618	0
2	251557697	261232993	57	541651914	0
2	261232993	270908289	58	551327210	0
2	270908289	285068072	59	561002506	0
3	1	9675297	60	575162290	575162290
3	9675297	19350593	61	584837586	0
3	19350593	29025889	62	594512882	0
3	29025889	38701185	63	604188178	0
3	38701185	48376481	64	613863474	0
3	48376481	58051777	65	623538770	0
3	58051777	67727073	66	633214066	0
3	67727073	77402369	67	642889362	0
3	77402369	87077665	68	652564658	0
3	87077665	96752961	69	662239954	0
3	96752961	106428257	70	671915250	0
