Chromosome	Start	End	Bin	Absolute	ChromoStart
1	1	8625024	1	1	1
1	8625024	17250047	2	8625024	0
1	17250047	25875070	3	17250047	0
1	25875070	34500093	4	25875070	0
1	34500093	43125116	5	34500093	0
1	43125116	51750139	6	43125116	0
1	51750139	60375162	7	51750139	0
1	60375162	69000185	8	60375162	0
1	69000185	77625208	9	69000185	0
1	77625208	86250231	10	77625208	0
1	86250231	94875254	11	86250231	0
1	94875254	103500277	12	94875254	0
1	103500277	112125300	13	103500277	0
1	112125300	120750323	14	112125300	0
1	120750323	129375346	15	120750323	0
1	129375346	138000369	16	129375346	0
1	138000369	146625392	17	138000369	0
1	146625392	155250415	18	146625392	0
1	155250415	163875438	19	155250415	0
1	163875438	172500461	20	163875438	0
1	172500461	181125484	21	172500461	0
1	181125484	189750507	22	181125484	0
1	189750507	198375530	23	189750507	0
1	198375530	207000553	24	198375530	0
1	207000553	215625576	25	207000553	0
1	215625576	224250599	26	215625576	0
1	224250599	232875622	27	224250599	0
1	232875622	241500645	28	232875622	0
1	241500645	250125668	29	241500645	0
1	250125668	258750691	30	250125668	0
1	258750691	267375714	31	258750691	0
1	267375714	275612896	32	267375714	0
2	1	8625024	33	275612897	275612897
2	8625024	17250047	34	284237920	0
2	17250047	25875070	35	292862943	0
2	25875070	34500093	36	301487966	0
2	34500093	43125116	37	310112989	0
2	43125116	51750139	38	318738012	0
2	51750139	60375162	39	327363035	0
2	60375162	69000185	40	335988058	0
2	69000185	77625208	41	344613081	0
2	77625208	86250231	42	353238104	0
2	86250231	94875254	43	361863127	0
2	94875254	103500277	44	370488150	0
2	103500277	112125300	45	379113173	0
2	112125300	120750323	46	387738196	0
2	120750323	129375346	47	396363219	0
2	129375346	138000369	48	404988242	0
2	138000369	146625392	49	413613265	0
2	146625392	155250415	50	422238288	0
2	155250415	163875438	51	430863311	0
2	163875438	172500461	52	439488334	0
2	172500461	181125484	53	448113357	0
2	181125484	189750507	54	456738380	0
2	189750507	198375530	55	465363403	0
2	198375530	207000553	56	473988426	0
2	207000553	215625576	57	482613449	0
2	215625576	224250599	58	491238472	0
2	224250599	232875622	59	499863495	0
2	232875622	241500645	60	508488518	0
2	241500645	248993847	61	517113541	0
3	1	8625024	62	524606744	524606744
3	8625024	17250047	63	533231767	0
3	17250047	25875070	64	541856790	0
3	25875070	34500093	65	550481813	0
3	34500093	43125116	66	559106836	0
3	43125116	51750139	67	567731859	0
3	51750139	60375162	68	576356882	0
3	60375162	69000185	69	584981905	0
3	69000185	77625208	70	593606928	0
3	77625208	86250231	71	602231951	0
3	86250231	94875254	72	610856974	0
3	94875254	103500277	73	619481997	0
3	103500277	112125300	74	628107020	0
3	112125300	120750323	75	636732043	0
3	120750323	129375346	76	645357066	0
3	129375346	138000369	77	653982089	0
3	138000369	146625392	78	662607112	0
3	146625392	155250415	79	671232135	0
3	155250415	163875438	80	679857158	0
3	163875438	172500461	81	688482181	0
3	172500461	181125484	82	697107204	0
3	181125484	189750507	83	705732227	0
3	189750507	198375530	84	714357250	0
3	198375530	207000553	85	722982273	0
3	207000553	215625576	86	731607296	0
3	215625576	224283231	87	740232319	0
4	1	8625024	88	748889975	748889975
4	8625024	17250047	89	757514998	0
4	17250047	25875070	90	766140021	0
4	25875070	34500093	91	774765044	0
4	34500093	43125116	92	783390067	0
4	43125116	51750139	93	792015090	0
4	51750139	60375162	94	800640113	0
4	60375162	69000185	95	809265136	0
4	69000185	77625208	96	817890159	0
4	77625208	86250231	97	826515182	0
4	86250231	94875254	98	835140205	0
4	94875254	103500277	99	843765228	0
4	103500277	112125300	100	852390251	0
4	112125300	119255634	101	861015274	0
5	1	8625024	102	868145609	868145609
5	8625024	17250047	103	876770632	0
5	17250047	25875070	104	885395655	0
5	25875070	34500093	105	894020678	0
5	34500093	43125116	106	902645701	0
5	43125116	51750139	107	911270724	0
5	51750139	60375162	108	919895747	0
5	60375162	69000185	109	928520770	0
5	69000185	77625208	110	937145793	0
5	77625208	86250231	111	945770816	0
5	86250231	94875254	112	954395839	0
5	94875254	107901689	113	963020862	0
6	1	8625024	114	976047298	976047298
6	8625024	17250047	115	984672321	0
6	17250047	25875070	116	993297344	0
6	25875070	34500093	117	1001922367	0
6	34500093	43125116	118	1010547390	0
6	43125116	51750139	119	1019172413	0
6	51750139	60375162	120	1027797436	0
6	60375162	69000185	121	1036422459	0
6	69000185	77625208	122	1045047482	0
6	77625208	86250231	123	1053672505	0
6	86250231	94875254	124	1062297528	0
6	94875254	103500277	125	1070922551	0
6	103500277	112125300	126	1079547574	0
6	112125300	117031473	127	1088172597	0
7	1	8625024	128	1093078771	1093078771
7	8625024	17250047	129	1101703794	0
7	17250047	25875070	130	1110328817	0
7	25875070	34500093	131	1118953840	0
7	34500093	43125116	132	1127578863	0
7	43125116	51750139	133	1136203886	0
7	51750139	60375162	134	1144828909	0
7	60375162	69000185	135	1153453932	0
7	69000185	77625208	136	1162078955	0
7	77625208	86250231	137	1170703978	0
7	86250231	94875254	138	1179329001	0
7	94875254	100079508	139	1187954024	0
8	1	8625024	140	1193158279	1193158279
8	8625024	17250047	141	1201783302	0
8	17250047	25875070	142	1210408325	0
8	25875070	34500093	143	1219033348	0
8	34500093	43125116	144	1227658371	0
8	43125116	51750139	145	1236283394	0
8	51750139	60375162	146	1244908417	0
8	60375162	69000185	147	1253533440	0
8	69000185	77625208	148	1262158463	0
8	77625208	86250231	149	1270783486	0
8	86250231	90695169	150	1279408509	0
9	1	8625024	151	1283853448	1283853448
9	8625024	17250047	152	1292478471	0
9	17250047	25875070	153	1301103494	0
9	25875070	34500093	154	1309728517	0
9	34500093	43125116	155	1318353540	0
9	43125116	51750139	156	1326978563	0
9	51750139	60375162	157	1335603586	0
9	60375162	69000185	158	1344228609	0
9	69000185	77625208	159	1352853632	0
9	77625208	86250231	160	1361478655	0
9	86250231	94726779	161	1370103678	0
10	1	8625024	162	1378580227	1378580227
10	8625024	17250047	163	1387205250	0
10	17250047	25875070	164	1395830273	0
10	25875070	34500093	165	1404455296	0
10	34500093	43125116	166	1413080319	0
10	43125116	51750139	167	1421705342	0
10	51750139	60375162	168	1430330365	0
10	60375162	69000185	169	1438955388	0
10	69000185	77625208	170	1447580411	0
10	77625208	86447214	171	1456205434	0
11	1	8625024	172	1465027441	1465027441
11	8625024	17250047	173	1473652464	0
11	17250047	25875070	174	1482277487	0
11	25875070	34500093	175	1490902510	0
11	34500093	43125116	176	1499527533	0
11	43125116	51750139	177	1508152556	0
11	51750139	62248097	178	1516777579	0
12	1	8625024	179	1527275538	1527275538
12	8625024	17250047	180	1535900561	0
12	17250047	25875070	181	1544525584	0
12	25875070	34500093	182	1553150607	0
12	34500093	43125116	183	1561775630	0
12	43125116	51750139	184	1570400653	0
12	51750139	60375162	185	1579025676	0
12	60375162	69000185	186	1587650699	0
12	69000185	79100224	187	1596275722	0
13	1	8625024	188	1606375762	1606375762
13	8625024	17250047	189	1615000785	0
13	17250047	25875070	190	1623625808	0
13	25875070	34500093	191	1632250831	0
13	34500093	43125116	192	1640875854	0
13	43125116	51750139	193	1649500877	0
13	51750139	60375162	194	1658125900	0
13	60375162	69000185	195	1666750923	0
13	69000185	77625208	196	1675375946	0
13	77625208	83079145	197	1684000969	0
14	1	8625024	198	1689454907	1689454907
14	8625024	17250047	199	1698079930	0
14	17250047	25875070	200	1706704953	0
14	25875070	34500093	201	1715329976	0
14	34500093	43125116	202	1723954999	0
14	43125116	51750139	203	1732580022	0
14	51750139	62722626	204	1741205045	0
15	1	8625024	205	1752177533	1752177533
15	8625024	17250047	206	1760802556	0
15	17250047	25875070	207	1769427579	0
15	25875070	34500093	208	1778052602	0
15	34500093	43125116	209	1786677625	0
15	43125116	51750139	210	1795302648	0
15	51750139	60375162	211	1803927671	0
15	60375162	69000185	212	1812552694	0
15	69000185	80923593	213	1821177717	0
16	1	8625024	214	1833101126	1833101126
16	8625024	17250047	215	1841726149	0
16	17250047	25875070	216	1850351172	0
16	25875070	34500093	217	1858976195	0
16	34500093	43125116	218	1867601218	0
16	43125116	51750139	219	1876226241	0
16	51750139	60375162	220	1884851264	0
16	60375162	71719817	221	1893476287	0
17	1	8625024	222	1904820943	1904820943
17	8625024	17250047	223	1913445966	0
17	17250047	25875070	224	1922070989	0
17	25875070	34500093	225	1930696012	0
17	34500093	43125116	226	1939321035	0
17	43125116	51750139	227	1947946058	0
17	51750139	60375162	228	1956571081	0
17	60375162	72286589	229	1965196104	0
18	1	8625024	230	1977107532	1977107532
18	8625024	17250047	231	1985732555	0
18	17250047	25875070	232	1994357578	0
18	25875070	34500093	233	2002982601	0
18	34500093	43125116	234	2011607624	0
18	43125116	51750139	235	2020232647	0
18	51750139	60375162	236	2028857670	0
18	60375162	68604603	237	2037482693	0
19	1	8625024	238	2045712135	2045712135
19	8625024	17250047	239	2054337158	0
19	17250047	25875070	240	2062962181	0
19	25875070	34500093	241	2071587204	0
19	34500093	43125116	242	2080212227	0
19	43125116	51750139	243	2088837250	0
19	51750139	60464315	244	2097462273	0
20	1	8625024	245	2106176450	2106176450
20	8625024	17250047	246	2114801473	0
20	17250047	25875070	247	2123426496	0
20	25875070	34500093	248	2132051519	0
20	34500093	43125116	249	2140676542	0
20	43125116	51176842	250	2149301565	0
21	1	8625024	251	2157353292	2157353292
21	8625024	17250047	252	2165978315	0
21	17250047	25875070	253	2174603338	0
21	25875070	34500093	254	2183228361	0
21	34500093	43125116	255	2191853384	0
21	43125116	50073675	256	2200478407	0
22	1	8625024	257	2207426967	2207426967
22	8625024	17250047	258	2216051990	0
22	17250047	25875070	259	2224677013	0
22	25875070	34500093	260	2233302036	0
22	34500093	43125116	261	2241927059	0
22	43125116	50832533	262	2250552082	0
23	1	8625024	263	2258259500	2258259500
23	8625024	17250047	264	2266884523	0
23	17250047	25875070	265	2275509546	0
23	25875070	34500093	266	2284134569	0
23	34500093	43125116	267	2292759592	0
23	43125116	51750139	268	2301384615	0
23	51750139	62330650	269	2310009638	0
24	1	8625024	270	2320590150	2320590150
24	8625024	17250047	271	2329215173	0
24	17250047	25875070	272	2337840196	0
24	25875070	34500093	273	2346465219	0
24	34500093	42034649	274	2355090242	0
25	1	8625024	275	2362624799	2362624799
25	8625024	17250047	276	2371249822	0
25	17250047	25875070	277	2379874845	0
25	25875070	34500093	278	2388499868	0
25	34500093	45367443	279	2397124891	0
26	1	8625024	280	2407992242	2407992242
26	8625024	17250047	281	2416617265	0
26	17250047	25875070	282	2425242288	0
26	25875070	34500093	283	2433867311	0
26	34500093	44077780	284	2442492334	0
X	1	8625024	285	2452070022	2452070022
X	8625024	17250047	286	2460695045	0
X	17250047	25875070	287	2469320068	0
X	25875070	34500093	288	2477945091	0
X	34500093	43125116	289	2486570114	0
X	43125116	51750139	290	2495195137	0
X	51750139	60375162	291	2503820160	0
X	60375162	69000185	292	2512445183	0
X	69000185	77625208	293	2521070206	0
X	77625208	86250231	294	2529695229	0
X	86250231	94875254	295	2538320252	0
X	94875254	103500277	296	2546945275	0
X	103500277	112125300	297	2555570298	0
X	112125300	120750323	298	2564195321	0
X	120750323	129375346	299	2572820344	0
X	129375346	135437089	300	2581445367	0
