Chromosome	Start	End	Bin	Absolute	ChromoStart
1	1	3467624	1	1	1
1	3467624	6935247	2	3467624	0
1	6935247	10402870	3	6935247	0
1	10402870	13870493	4	10402870	0
1	13870493	17338116	5	13870493	0
1	17338116	20805739	6	17338116	0
1	20805739	24273362	7	20805739	0
1	24273362	27740985	8	24273362	0
1	27740985	31208608	9	27740985	0
1	31208608	34676231	10	31208608	0
1	34676231	38143854	11	34676231	0
1	38143854	41611477	12	38143854	0
1	41611477	45079100	13	41611477	0
1	45079100	48546723	14	45079100	0
1	48546723	52014346	15	48546723	0
1	52014346	55481969	16	52014346	0
1	55481969	58949592	17	55481969	0
1	58949592	62417215	18	58949592	0
1	62417215	65884838	19	62417215	0
1	65884838	69352461	20	65884838	0
1	69352461	72820084	21	69352461	0
1	72820084	76287707	22	72820084	0
1	76287707	79755330	23	76287707	0
1	79755330	83222953	24	79755330	0
1	83222953	86690576	25	83222953	0
1	86690576	90158199	26	86690576	0
1	90158199	93625822	27	90158199	0
1	93625822	97093445	28	93625822	0
1	97093445	100561068	29	97093445	0
1	100561068	104028691	30	100561068	0
1	104028691	107496314	31	104028691	0
1	107496314	110963937	32	107496314	0
1	110963937	114431560	33	110963937	0
1	114431560	117899183	34	114431560	0
1	117899183	121366806	35	117899183	0
1	121366806	124834429	36	121366806	0
1	124834429	128302052	37	124834429	0
1	128302052	131769675	38	128302052	0
1	131769675	135237298	39	131769675	0
1	135237298	138704921	40	135237298	0
1	138704921	142172544	41	138704921	0
1	142172544	145640167	42	142172544	0
1	145640167	149107790	43	145640167	0
1	149107790	152575413	44	149107790	0
1	152575413	156043036	45	152575413	0
1	156043036	159510659	46	156043036	0
1	159510659	162978282	47	159510659	0
1	162978282	166445905	48	162978282	0
1	166445905	169913528	49	166445905	0
1	169913528	173381151	50	169913528	0
1	173381151	176848774	51	173381151	0
1	176848774	180316397	52	176848774	0
1	180316397	183784020	53	180316397	0
1	183784020	187251643	54	183784020	0
1	187251643	190719266	55	187251643	0
1	190719266	194186889	56	190719266	0
1	194186889	197654512	57	194186889	0
1	197654512	201122135	58	197654512	0
1	201122135	204065132	59	201122135	0
2	1	3467624	60	204065133	204065133
2	3467624	6935247	61	207532756	0
2	6935247	10402870	62	211000379	0
2	10402870	13870493	63	214468002	0
2	13870493	17338116	64	217935625	0
2	17338116	20805739	65	221403248	0
2	20805739	24273362	66	224870871	0
2	24273362	27740985	67	228338494	0
2	27740985	31208608	68	231806117	0
2	31208608	34676231	69	235273740	0
2	34676231	38143854	70	238741363	0
2	38143854	41611477	71	242208986	0
2	41611477	45079100	72	245676609	0
2	45079100	48546723	73	249144232	0
2	48546723	52014346	74	252611855	0
2	52014346	55481969	75	256079478	0
2	55481969	58949592	76	259547101	0
2	58949592	62417215	77	263014724	0
2	62417215	65884838	78	266482347	0
2	65884838	69352461	79	269949970	0
2	69352461	72820084	80	273417593	0
2	72820084	76287707	81	276885216	0
2	76287707	79755330	82	280352839	0
2	79755330	83222953	83	283820462	0
2	83222953	86690576	84	287288085	0
2	86690576	90158199	85	290755708	0
2	90158199	93625822	86	294223331	0
2	93625822	97093445	87	297690954	0
2	97093445	100561068	88	301158577	0
2	100561068	104028691	89	304626200	0
2	104028691	107496314	90	308093823	0
2	107496314	110963937	91	311561446	0
2	110963937	114431560	92	315029069	0
2	114431560	116965581	93	318496692	0
3	1	3467624	94	321030714	321030714
3	3467624	6935247	95	324498337	0
3	6935247	10402870	96	327965960	0
3	10402870	13870493	97	331433583	0
3	13870493	17338116	98	334901206	0
3	17338116	20805739	99	338368829	0
3	20805739	24273362	100	341836452	0
3	24273362	27740985	101	345304075	0
