Chromosome	Start	End	Bin	Absolute	ChromoStart
2L	1	435926	1	1	1
2L	435926	871851	2	435926	0
2L	871851	1307776	3	871851	0
2L	1307776	1743701	4	1307776	0
2L	1743701	2179626	5	1743701	0
2L	2179626	2615551	6	2179626	0
2L	2615551	3051476	7	2615551	0
2L	3051476	3487401	8	3051476	0
2L	3487401	3923326	9	3487401	0
2L	3923326	4359251	10	3923326	0
2L	4359251	4795176	11	4359251	0
2L	4795176	5231101	12	4795176	0
2L	5231101	5667026	13	5231101	0
2L	5667026	6102951	14	5667026	0
2L	6102951	6538876	15	6102951	0
2L	6538876	6974801	16	6538876	0
2L	6974801	7410726	17	6974801	0
2L	7410726	7846651	18	7410726	0
2L	7846651	8282576	19	7846651	0
2L	8282576	8718501	20	8282576	0
2L	8718501	9154426	21	8718501	0
2L	9154426	9590351	22	9154426	0
2L	9590351	10026276	23	9590351	0
2L	10026276	10462201	24	10026276	0
2L	10462201	10898126	25	10462201	0
2L	10898126	11334051	26	10898126	0
2L	11334051	11769976	27	11334051	0
2L	11769976	12205901	28	11769976	0
2L	12205901	12641826	29	12205901	0
2L	12641826	13077751	30	12641826	0
2L	13077751	13513676	31	13077751	0
2L	13513676	13949601	32	13513676	0
2L	13949601	14385526	33	13949601	0
2L	14385526	14821451	34	14385526	0
2L	14821451	15257376	35	14821451	0
2L	15257376	15693301	36	15257376	0
2L	15693301	16129226	37	15693301	0
2L	16129226	16565151	38	16129226	0
2L	16565151	17001076	39	16565151	0
2L	17001076	17437001	40	17001076	0
2L	17437001	17872926	41	17437001	0
2L	17872926	18308851	42	17872926	0
2L	18308851	18744776	43	18308851	0
2L	18744776	19180701	44	18744776	0
2L	19180701	19616626	45	19180701	0
2L	19616626	20052551	46	19616626	0
2L	20052551	20488476	47	20052551	0
2L	20488476	20924401	48	20488476	0
2L	20924401	21360326	49	20924401	0
2L	21360326	21796251	50	21360326	0
2L	21796251	22232176	51	21796251	0
2L	22232176	22668101	52	22232176	0
2L	22668101	23011545	53	22668101	0
2R	1	435926	54	23011546	23011546
2R	435926	871851	55	23447471	0
2R	871851	1307776	56	23883396	0
2R	1307776	1743701	57	24319321	0
2R	1743701	2179626	58	24755246	0
2R	2179626	2615551	59	25191171	0
2R	2615551	3051476	60	25627096	0
2R	3051476	3487401	61	26063021	0
2R	3487401	3923326	62	26498946	0
2R	3923326	4359251	63	26934871	0
2R	4359251	4795176	64	27370796	0
2R	4795176	5231101	65	27806721	0
2R	5231101	5667026	66	28242646	0
2R	5667026	6102951	67	28678571	0
2R	6102951	6538876	68	29114496	0
2R	6538876	6974801	69	29550421	0
2R	6974801	7410726	70	29986346	0
2R	7410726	7846651	71	30422271	0
2R	7846651	8282576	72	30858196	0
2R	8282576	8718501	73	31294121	0
2R	8718501	9154426	74	31730046	0
2R	9154426	9590351	75	32165971	0
2R	9590351	10026276	76	32601896	0
2R	10026276	10462201	77	33037821	0
2R	10462201	10898126	78	33473746	0
2R	10898126	11334051	79	33909671	0
2R	11334051	11769976	80	34345596	0
2R	11769976	12205901	81	34781521	0
2R	12205901	12641826	82	35217446	0
2R	12641826	13077751	83	35653371	0
2R	13077751	13513676	84	36089296	0
2R	13513676	13949601	85	36525221	0
2R	13949601	14385526	86	36961146	0
2R	14385526	14821451	87	37397071	0
2R	14821451	15257376	88	37832996	0
2R	15257376	15693301	89	38268921	0
2R	15693301	16129226	90	38704846	0
2R	16129226	16565151	91	39140771	0
2R	16565151	17001076	92	39576696	0
2R	17001076	17437001	93	40012621	0
2R	17437001	17872926	94	40448546	0
2R	17872926	18308851	95	40884471	0
2R	18308851	18744776	96	41320396	0
2R	18744776	19180701	97	41756321	0
2R	19180701	19616626	98	42192246	0
2R	19616626	20052551	99	42628171	0
2R	20052551	20488476	100	43064096	0
2R	20488476	20924401	101	43500021	0
2R	20924401	21146709	102	43935946	0
3L	1	435926	103	44158255	44158255
3L	435926	871851	104	44594180	0
3L	871851	1307776	105	45030105	0
3L	1307776	1743701	106	45466030	0
3L	1743701	2179626	107	45901955	0
3L	2179626	2615551	108	46337880	0
3L	2615551	3051476	109	46773805	0
3L	3051476	3487401	110	47209730	0
3L	3487401	3923326	111	47645655	0
3L	3923326	4359251	112	48081580	0
3L	4359251	4795176	113	48517505	0
3L	4795176	5231101	114	48953430	0
3L	5231101	5667026	115	49389355	0
3L	5667026	6102951	116	49825280	0
3L	6102951	6538876	117	50261205	0
3L	6538876	6974801	118	50697130	0
3L	6974801	7410726	119	51133055	0
3L	7410726	7846651	120	51568980	0
3L	7846651	8282576	121	52004905	0
3L	8282576	8718501	122	52440830	0
3L	8718501	9154426	123	52876755	0
3L	9154426	9590351	124	53312680	0
3L	9590351	10026276	125	53748605	0
3L	10026276	10462201	126	54184530	0
3L	10462201	10898126	127	54620455	0
3L	10898126	11334051	128	55056380	0
3L	11334051	11769976	129	55492305	0
3L	11769976	12205901	130	55928230	0
3L	12205901	12641826	131	56364155	0
3L	12641826	13077751	132	56800080	0
3L	13077751	13513676	133	57236005	0
3L	13513676	13949601	134	57671930	0
3L	13949601	14385526	135	58107855	0
3L	14385526	14821451	136	58543780	0
3L	14821451	15257376	137	58979705	0
3L	15257376	15693301	138	59415630	0
3L	15693301	16129226	139	59851555	0
3L	16129226	16565151	140	60287480	0
3L	16565151	17001076	141	60723405	0
3L	17001076	17437001	142	61159330	0
3L	17437001	17872926	143	61595255	0
3L	17872926	18308851	144	62031180	0
3L	18308851	18744776	145	62467105	0
3L	18744776	19180701	146	62903030	0
3L	19180701	19616626	147	63338955	0
3L	19616626	20052551	148	63774880	0
3L	20052551	20488476	149	64210805	0
3L	20488476	20924401	150	64646730	0
3L	20924401	21360326	151	65082655	0
3L	21360326	21796251	152	65518580	0
3L	21796251	22232176	153	65954505	0
3L	22232176	22668101	154	66390430	0
3L	22668101	23104026	155	66826355	0
3L	23104026	23539951	156	67262280	0
3L	23539951	23975876	157	67698205	0
3L	23975876	24543558	158	68134130	0
3R	1	435926	159	68701813	68701813
3R	435926	871851	160	69137738	0
3R	871851	1307776	161	69573663	0
3R	1307776	1743701	162	70009588	0
3R	1743701	2179626	163	70445513	0
3R	2179626	2615551	164	70881438	0
3R	2615551	3051476	165	71317363	0
3R	3051476	3487401	166	71753288	0
3R	3487401	3923326	167	72189213	0
3R	3923326	4359251	168	72625138	0
3R	4359251	4795176	169	73061063	0
3R	4795176	5231101	170	73496988	0
3R	5231101	5667026	171	73932913	0
3R	5667026	6102951	172	74368838	0
3R	6102951	6538876	173	74804763	0
3R	6538876	6974801	174	75240688	0
3R	6974801	7410726	175	75676613	0
3R	7410726	7846651	176	76112538	0
3R	7846651	8282576	177	76548463	0
3R	8282576	8718501	178	76984388	0
3R	8718501	9154426	179	77420313	0
3R	9154426	9590351	180	77856238	0
3R	9590351	10026276	181	78292163	0
3R	10026276	10462201	182	78728088	0
3R	10462201	10898126	183	79164013	0
3R	10898126	11334051	184	79599938	0
3R	11334051	11769976	185	80035863	0
3R	11769976	12205901	186	80471788	0
3R	12205901	12641826	187	80907713	0
3R	12641826	13077751	188	81343638	0
3R	13077751	13513676	189	81779563	0
3R	13513676	13949601	190	82215488	0
3R	13949601	14385526	191	82651413	0
3R	14385526	14821451	192	83087338	0
3R	14821451	15257376	193	83523263	0
3R	15257376	15693301	194	83959188	0
3R	15693301	16129226	195	84395113	0
3R	16129226	16565151	196	84831038	0
3R	16565151	17001076	197	85266963	0
3R	17001076	17437001	198	85702888	0
3R	17437001	17872926	199	86138813	0
3R	17872926	18308851	200	86574738	0
3R	18308851	18744776	201	87010663	0
3R	18744776	19180701	202	87446588	0
3R	19180701	19616626	203	87882513	0
3R	19616626	20052551	204	88318438	0
3R	20052551	20488476	205	88754363	0
3R	20488476	20924401	206	89190288	0
3R	20924401	21360326	207	89626213	0
3R	21360326	21796251	208	90062138	0
3R	21796251	22232176	209	90498063	0
3R	22232176	22668101	210	90933988	0
3R	22668101	23104026	211	91369913	0
3R	23104026	23539951	212	91805838	0
3R	23539951	23975876	213	92241763	0
3R	23975876	24411801	214	92677688	0
3R	24411801	24847726	215	93113613	0
3R	24847726	25283651	216	93549538	0
3R	25283651	25719576	217	93985463	0
3R	25719576	26155501	218	94421388	0
3R	26155501	26591426	219	94857313	0
3R	26591426	27027351	220	95293238	0
3R	27027351	27463276	221	95729163	0
3R	27463276	27905054	222	96165088	0
4	1	435926	223	96606867	96606867
4	435926	871851	224	97042792	0
4	871851	1351858	225	97478717	0
U	1	435926	226	97958725	97958725
U	435926	871851	227	98394650	0
U	871851	1307776	228	98830575	0
U	1307776	1743701	229	99266500	0
U	1743701	2179626	230	99702425	0
U	2179626	2615551	231	100138350	0
U	2615551	3051476	232	100574275	0
U	3051476	3487401	233	101010200	0
U	3487401	3923326	234	101446125	0
U	3923326	4359251	235	101882050	0
U	4359251	4795176	236	102317975	0
U	4795176	5231101	237	102753900	0
U	5231101	5667026	238	103189825	0
U	5667026	6102951	239	103625750	0
U	6102951	6538876	240	104061675	0
