Chromosome	Start	End	Bin	Absolute	ChromoStart
1	1	10488879	1	1	1
1	10488879	20977757	2	10488879	0
1	20977757	31466635	3	20977757	0
1	31466635	41955513	4	31466635	0
1	41955513	52444391	5	41955513	0
1	52444391	62933269	6	52444391	0
1	62933269	73422147	7	62933269	0
1	73422147	83911025	8	73422147	0
1	83911025	94399903	9	83911025	0
1	94399903	104888781	10	94399903	0
1	104888781	115377659	11	104888781	0
1	115377659	125866537	12	115377659	0
1	125866537	136355415	13	125866537	0
1	136355415	146844293	14	136355415	0
1	146844293	157333171	15	146844293	0
1	157333171	167822049	16	157333171	0
1	167822049	178310927	17	167822049	0
1	178310927	188799805	18	178310927	0
1	188799805	199288683	19	188799805	0
1	199288683	209777561	20	199288683	0
1	209777561	220266439	21	209777561	0
1	220266439	228333872	22	220266439	0
2A	1	10488879	23	228333873	228333873
2A	10488879	20977757	24	238822751	0
2A	20977757	31466635	25	249311629	0
2A	31466635	41955513	26	259800507	0
2A	41955513	52444391	27	270289385	0
2A	52444391	62933269	28	280778263	0
2A	62933269	73422147	29	291267141	0
2A	73422147	83911025	30	301756019	0
2A	83911025	94399903	31	312244897	0
2A	94399903	104888781	32	322733775	0
2A	104888781	113622375	33	333222653	0
2B	1	10488879	34	341956248	341956248
2B	10488879	20977757	35	352445126	0
2B	20977757	31466635	36	362934004	0
2B	31466635	41955513	37	373422882	0
2B	41955513	52444391	38	383911760	0
2B	52444391	62933269	39	394400638	0
2B	62933269	73422147	40	404889516	0
2B	73422147	83911025	41	415378394	0
2B	83911025	94399903	42	425867272	0
2B	94399903	104888781	43	436356150	0
2B	104888781	115377659	44	446845028	0
2B	115377659	125866537	45	457333906	0
2B	125866537	136355415	46	467822784	0
2B	136355415	146844293	47	478311662	0
2B	146844293	157333171	48	488800540	0
2B	157333171	167822049	49	499289418	0
2B	167822049	178310927	50	509778296	0
2B	178310927	188799805	51	520267174	0
2B	188799805	199288683	52	530756052	0
2B	199288683	209777561	53	541244930	0
2B	209777561	220266439	54	551733808	0
2B	220266439	230755317	55	562222686	0
2B	230755317	241244195	56	572711564	0
2B	241244195	247518479	57	583200442	0
3	1	10488879	58	589474727	589474727
3	10488879	20977757	59	599963605	0
3	20977757	31466635	60	610452483	0
3	31466635	41955513	61	620941361	0
3	41955513	52444391	62	631430239	0
3	52444391	62933269	63	641919117	0
3	62933269	73422147	64	652407995	0
3	73422147	83911025	65	662896873	0
3	83911025	94399903	66	673385751	0
3	94399903	104888781	67	683874629	0
3	104888781	115377659	68	694363507	0
3	115377659	125866537	69	704852385	0
3	125866537	136355415	70	715341263	0
3	136355415	146844293	71	725830141	0
3	146844293	157333171	72	736319019	0
3	157333171	167822049	73	746807897	0
3	167822049	178310927	74	757296775	0
3	178310927	188799805	75	767785653	0
3	188799805	202329956	76	778274531	0
4	1	10488879	77	791804683	791804683
4	10488879	20977757	78	802293561	0
4	20977757	31466635	79	812782439	0
4	31466635	41955513	80	823271317	0
4	41955513	52444391	81	833760195	0
4	52444391	62933269	82	844249073	0
4	62933269	73422147	83	854737951	0
4	73422147	83911025	84	865226829	0
4	83911025	94399903	85	875715707	0
4	94399903	104888781	86	886204585	0
4	104888781	115377659	87	896693463	0
4	115377659	125866537	88	907182341	0
4	125866537	136355415	89	917671219	0
4	136355415	146844293	90	928160097	0
4	146844293	157333171	91	938648975	0
4	157333171	167822049	92	949137853	0
4	167822049	178310927	93	959626731	0
4	178310927	193495093	94	970115609	0
5	1	10488879	95	985299776	985299776
5	10488879	20977757	96	995788654	0
5	20977757	31466635	97	1006277532	0
5	31466635	41955513	98	1016766410	0
5	41955513	52444391	99	1027255288	0
5	52444391	62933269	100	1037744166	0
5	62933269	73422147	101	1048233044	0
5	73422147	83911025	102	1058721922	0
5	83911025	94399903	103	1069210800	0
5	94399903	104888781	104	1079699678	0
5	104888781	115377659	105	1090188556	0
5	115377659	125866537	106	1100677434	0
5	125866537	136355415	107	1111166312	0
5	136355415	146844293	108	1121655190	0
5	146844293	157333171	109	1132144068	0
5	157333171	167822049	110	1142632946	0
5	167822049	182651098	111	1153121824	0
6	1	10488879	112	1167950874	1167950874
6	10488879	20977757	113	1178439752	0
6	20977757	31466635	114	1188928630	0
6	31466635	41955513	115	1199417508	0
6	41955513	52444391	116	1209906386	0
6	52444391	62933269	117	1220395264	0
6	62933269	73422147	118	1230884142	0
6	73422147	83911025	119	1241373020	0
6	83911025	94399903	120	1251861898	0
6	94399903	104888781	121	1262350776	0
6	104888781	115377659	122	1272839654	0
6	115377659	125866537	123	1283328532	0
6	125866537	136355415	124	1293817410	0
6	136355415	146844293	125	1304306288	0
6	146844293	157333171	126	1314795166	0
6	157333171	172623882	127	1325284044	0
7	1	10488879	128	1340574756	1340574756
7	10488879	20977757	129	1351063634	0
7	20977757	31466635	130	1361552512	0
7	31466635	41955513	131	1372041390	0
7	41955513	52444391	132	1382530268	0
7	52444391	62933269	133	1393019146	0
7	62933269	73422147	134	1403508024	0
7	73422147	83911025	135	1413996902	0
7	83911025	94399903	136	1424485780	0
7	94399903	104888781	137	1434974658	0
7	104888781	115377659	138	1445463536	0
7	115377659	125866537	139	1455952414	0
7	125866537	136355415	140	1466441292	0
7	136355415	146844293	141	1476930170	0
7	146844293	161824587	142	1487419048	0
8	1	10488879	143	1502399343	1502399343
8	10488879	20977757	144	1512888221	0
8	20977757	31466635	145	1523377099	0
8	31466635	41955513	146	1533865977	0
8	41955513	52444391	147	1544354855	0
8	52444391	62933269	148	1554843733	0
8	62933269	73422147	149	1565332611	0
8	73422147	83911025	150	1575821489	0
8	83911025	94399903	151	1586310367	0
8	94399903	104888781	152	1596799245	0
8	104888781	115377659	153	1607288123	0
8	115377659	125866537	154	1617777001	0
8	125866537	136355415	155	1628265879	0
8	136355415	143986470	156	1638754757	0
9	1	10488879	157	1646385813	1646385813
9	10488879	20977757	158	1656874691	0
9	20977757	31466635	159	1667363569	0
9	31466635	41955513	160	1677852447	0
9	41955513	52444391	161	1688341325	0
9	52444391	62933269	162	1698830203	0
9	62933269	73422147	163	1709319081	0
9	73422147	83911025	164	1719807959	0
9	83911025	94399903	165	1730296837	0
9	94399903	104888781	166	1740785715	0
9	104888781	115377659	167	1751274593	0
9	115377659	125866537	168	1761763471	0
9	125866537	137840988	169	1772252349	0
10	1	10488879	170	1784226801	1784226801
10	10488879	20977757	171	1794715679	0
10	20977757	31466635	172	1805204557	0
10	31466635	41955513	173	1815693435	0
10	41955513	52444391	174	1826182313	0
10	52444391	62933269	175	1836671191	0
10	62933269	73422147	176	1847160069	0
10	73422147	83911025	177	1857648947	0
10	83911025	94399903	178	1868137825	0
10	94399903	104888781	179	1878626703	0
10	104888781	115377659	180	1889115581	0
10	115377659	125866537	181	1899604459	0
10	125866537	133524380	182	1910093337	0
11	1	10488879	183	1917751181	1917751181
11	10488879	20977757	184	1928240059	0
11	20977757	31466635	185	1938728937	0
11	31466635	41955513	186	1949217815	0
11	41955513	52444391	187	1959706693	0
11	52444391	62933269	188	1970195571	0
11	62933269	73422147	189	1980684449	0
11	73422147	83911025	190	1991173327	0
11	83911025	94399903	191	2001662205	0
11	94399903	104888781	192	2012151083	0
11	104888781	115377659	193	2022639961	0
11	115377659	125866537	194	2033128839	0
11	125866537	133121535	195	2043617717	0
12	1	10488879	196	2050872716	2050872716
12	10488879	20977757	197	2061361594	0
12	20977757	31466635	198	2071850472	0
12	31466635	41955513	199	2082339350	0
12	41955513	52444391	200	2092828228	0
12	52444391	62933269	201	2103317106	0
12	62933269	73422147	202	2113805984	0
12	73422147	83911025	203	2124294862	0
12	83911025	94399903	204	2134783740	0
12	94399903	104888781	205	2145272618	0
12	104888781	115377659	206	2155761496	0
12	115377659	125866537	207	2166250374	0
12	125866537	134246215	208	2176739252	0
13	1	10488879	209	2185118931	2185118931
13	10488879	20977757	210	2195607809	0
13	20977757	31466635	211	2206096687	0
13	31466635	41955513	212	2216585565	0
13	41955513	52444391	213	2227074443	0
13	52444391	62933269	214	2237563321	0
13	62933269	73422147	215	2248052199	0
13	73422147	83911025	216	2258541077	0
13	83911025	94399903	217	2269029955	0
13	94399903	104888781	218	2279518833	0
13	104888781	115123234	219	2290007711	0
14	1	10488879	220	2300242165	2300242165
14	10488879	20977757	221	2310731043	0
14	20977757	31466635	222	2321219921	0
14	31466635	41955513	223	2331708799	0
14	41955513	52444391	224	2342197677	0
14	52444391	62933269	225	2352686555	0
14	62933269	73422147	226	2363175433	0
14	73422147	83911025	227	2373664311	0
14	83911025	94399903	228	2384153189	0
14	94399903	106544939	229	2394642067	0
15	1	10488879	230	2406787104	2406787104
15	10488879	20977757	231	2417275982	0
15	20977757	31466635	232	2427764860	0
15	31466635	41955513	233	2438253738	0
15	41955513	52444391	234	2448742616	0
15	52444391	62933269	235	2459231494	0
15	62933269	73422147	236	2469720372	0
15	73422147	83911025	237	2480209250	0
15	83911025	99548319	238	2490698128	0
16	1	10488879	239	2506335423	2506335423
16	10488879	20977757	240	2516824301	0
16	20977757	31466635	241	2527313179	0
16	31466635	41955513	242	2537802057	0
16	41955513	52444391	243	2548290935	0
16	52444391	62933269	244	2558779813	0
16	62933269	73422147	245	2569268691	0
16	73422147	83911025	246	2579757569	0
16	83911025	89983830	247	2590246447	0
17	1	10488879	248	2596319253	2596319253
17	10488879	20977757	249	2606808131	0
17	20977757	31466635	250	2617297009	0
17	31466635	41955513	251	2627785887	0
17	41955513	52444391	252	2638274765	0
17	52444391	62933269	253	2648763643	0
17	62933269	73422147	254	2659252521	0
17	73422147	82630443	255	2669741399	0
18	1	10488879	256	2678949696	2678949696
18	10488879	20977757	257	2689438574	0
18	20977757	31466635	258	2699927452	0
18	31466635	41955513	259	2710416330	0
18	41955513	52444391	260	2720905208	0
18	52444391	62933269	261	2731394086	0
18	62933269	76611500	262	2741882964	0
19	1	10488879	263	2755561196	2755561196
19	10488879	20977757	264	2766050074	0
19	20977757	31466635	265	2776538952	0
19	31466635	41955513	266	2787027830	0
19	41955513	52444391	267	2797516708	0
19	52444391	63644994	268	2808005586	0
20	1	10488879	269	2819206190	2819206190
20	10488879	20977757	270	2829695068	0
20	20977757	31466635	271	2840183946	0
20	31466635	41955513	272	2850672824	0
20	41955513	52444391	273	2861161702	0
20	52444391	61729294	274	2871650580	0
21	1	10488879	275	2880935484	2880935484
21	10488879	20977757	276	2891424362	0
21	20977757	32799111	277	2901913240	0
22	1	10488879	278	2913734595	2913734595
22	10488879	20977757	279	2924223473	0
22	20977757	31466635	280	2934712351	0
22	31466635	41955513	281	2945201229	0
22	41955513	49737985	282	2955690107	0
X	1	10488879	283	2963472580	2963472580
X	10488879	20977757	284	2973961458	0
X	20977757	31466635	285	2984450336	0
X	31466635	41955513	286	2994939214	0
X	41955513	52444391	287	3005428092	0
X	52444391	62933269	288	3015916970	0
X	62933269	73422147	289	3026405848	0
X	73422147	83911025	290	3036894726	0
X	83911025	94399903	291	3047383604	0
X	94399903	104888781	292	3057872482	0
X	104888781	115377659	293	3068361360	0
