Chromosome	Start	End	Bin	Absolute	ChromoStart
1	1	10294233	1	1	1
1	10294233	20588465	2	10294233	0
1	20588465	30882697	3	20588465	0
1	30882697	41176929	4	30882697	0
1	41176929	51471161	5	41176929	0
1	51471161	61765393	6	51471161	0
1	61765393	72059625	7	61765393	0
1	72059625	82353857	8	72059625	0
1	82353857	92648089	9	82353857	0
1	92648089	102942321	10	92648089	0
1	102942321	113236553	11	102942321	0
1	113236553	123530785	12	113236553	0
1	123530785	133825017	13	123530785	0
1	133825017	144119249	14	133825017	0
1	144119249	154413481	15	144119249	0
1	154413481	164707713	16	154413481	0
1	164707713	175001945	17	164707713	0
1	175001945	185296177	18	175001945	0
1	185296177	195590409	19	185296177	0
1	195590409	205884641	20	195590409	0
1	205884641	216178873	21	205884641	0
1	216178873	226473105	22	216178873	0
1	226473105	236767337	23	226473105	0
1	236767337	248956423	24	236767337	0
2	1	10294233	25	248956424	248956424
2	10294233	20588465	26	259250656	0
2	20588465	30882697	27	269544888	0
2	30882697	41176929	28	279839120	0
2	41176929	51471161	29	290133352	0
2	51471161	61765393	30	300427584	0
2	61765393	72059625	31	310721816	0
2	72059625	82353857	32	321016048	0
2	82353857	92648089	33	331310280	0
2	92648089	102942321	34	341604512	0
2	102942321	113236553	35	351898744	0
2	113236553	123530785	36	362192976	0
2	123530785	133825017	37	372487208	0
2	133825017	144119249	38	382781440	0
2	144119249	154413481	39	393075672	0
2	154413481	164707713	40	403369904	0
2	164707713	175001945	41	413664136	0
2	175001945	185296177	42	423958368	0
2	185296177	195590409	43	434252600	0
2	195590409	205884641	44	444546832	0
2	205884641	216178873	45	454841064	0
2	216178873	226473105	46	465135296	0
2	226473105	236767337	47	475429528	0
2	236767337	242193530	48	485723760	0
3	1	10294233	49	491149954	491149954
3	10294233	20588465	50	501444186	0
3	20588465	30882697	51	511738418	0
3	30882697	41176929	52	522032650	0
3	41176929	51471161	53	532326882	0
3	51471161	61765393	54	542621114	0
3	61765393	72059625	55	552915346	0
3	72059625	82353857	56	563209578	0
3	82353857	92648089	57	573503810	0
3	92648089	102942321	58	583798042	0
3	102942321	113236553	59	594092274	0
3	113236553	123530785	60	604386506	0
3	123530785	133825017	61	614680738	0
3	133825017	144119249	62	624974970	0
3	144119249	154413481	63	635269202	0
3	154413481	164707713	64	645563434	0
3	164707713	175001945	65	655857666	0
3	175001945	185296177	66	666151898	0
3	185296177	198295560	67	676446130	0
4	1	10294233	68	689445514	689445514
4	10294233	20588465	69	699739746	0
4	20588465	30882697	70	710033978	0
4	30882697	41176929	71	720328210	0
4	41176929	51471161	72	730622442	0
4	51471161	61765393	73	740916674	0
4	61765393	72059625	74	751210906	0
4	72059625	82353857	75	761505138	0
4	82353857	92648089	76	771799370	0
4	92648089	102942321	77	782093602	0
4	102942321	113236553	78	792387834	0
4	113236553	123530785	79	802682066	0
4	123530785	133825017	80	812976298	0
4	133825017	144119249	81	823270530	0
4	144119249	154413481	82	833564762	0
4	154413481	164707713	83	843858994	0
4	164707713	175001945	84	854153226	0
4	175001945	190214556	85	864447458	0
5	1	10294233	86	879660070	879660070
5	10294233	20588465	87	889954302	0
5	20588465	30882697	88	900248534	0
