Chromosome	Start	End	Bin	Absolute	ChromoStart
1	1	7758780	1	1	1
1	7758780	15517559	2	7758780	0
1	15517559	23276338	3	15517559	0
1	23276338	31035117	4	23276338	0
1	31035117	38793896	5	31035117	0
1	38793896	46552675	6	38793896	0
1	46552675	54311454	7	46552675	0
1	54311454	62070233	8	54311454	0
1	62070233	69829012	9	62070233	0
1	69829012	77587791	10	69829012	0
1	77587791	85346570	11	77587791	0
1	85346570	93105349	12	85346570	0
1	93105349	100864128	13	93105349	0
1	100864128	108622907	14	100864128	0
1	108622907	116381686	15	108622907	0
1	116381686	122678786	16	116381686	0
2	1	7758780	17	122678787	122678787
2	7758780	15517559	18	130437566	0
2	15517559	23276338	19	138196345	0
2	23276338	31035117	20	145955124	0
2	31035117	38793896	21	153713903	0
2	38793896	46552675	22	161472682	0
2	46552675	54311454	23	169231461	0
2	54311454	62070233	24	176990240	0
2	62070233	69829012	25	184749019	0
2	69829012	77587791	26	192507798	0
2	77587791	85426709	27	200266577	0
3	1	7758780	28	208105496	208105496
3	7758780	15517559	29	215864275	0
3	15517559	23276338	30	223623054	0
3	23276338	31035117	31	231381833	0
3	31035117	38793896	32	239140612	0
3	38793896	46552675	33	246899391	0
3	46552675	54311454	34	254658170	0
3	54311454	62070233	35	262416949	0
3	62070233	69829012	36	270175728	0
3	69829012	77587791	37	277934507	0
3	77587791	85346570	38	285693286	0
3	85346570	91889044	39	293452065	0
4	1	7758780	40	299994540	299994540
4	7758780	15517559	41	307753319	0
4	15517559	23276338	42	315512098	0
4	23276338	31035117	43	323270877	0
4	31035117	38793896	44	331029656	0
4	38793896	46552675	45	338788435	0
4	46552675	54311454	46	346547214	0
4	54311454	62070233	47	354305993	0
4	62070233	69829012	48	362064772	0
4	69829012	77587791	49	369823551	0
4	77587791	88276632	50	377582330	0
5	1	7758780	51	388271172	388271172
5	7758780	15517559	52	396029951	0
5	15517559	23276338	53	403788730	0
5	23276338	31035117	54	411547509	0
5	31035117	38793896	55	419306288	0
5	38793896	46552675	56	427065067	0
5	46552675	54311454	57	434823846	0
5	54311454	62070233	58	442582625	0
5	62070233	69829012	59	450341404	0
5	69829012	77587791	60	458100183	0
5	77587791	85346570	61	465858962	0
5	85346570	88915251	62	473617741	0
6	1	7758780	63	477186423	477186423
6	7758780	15517559	64	484945202	0
6	15517559	23276338	65	492703981	0
6	23276338	31035117	66	500462760	0
6	31035117	38793896	67	508221539	0
6	38793896	46552675	68	515980318	0
6	46552675	54311454	69	523739097	0
6	54311454	62070233	70	531497876	0
6	62070233	69829012	71	539256655	0
6	69829012	77573802	72	547015434	0
7	1	7758780	73	554760225	554760225
7	7758780	15517559	74	562519004	0
7	15517559	23276338	75	570277783	0
7	23276338	31035117	76	578036562	0
7	31035117	38793896	77	585795341	0
7	38793896	46552675	78	593554120	0
7	46552675	54311454	79	601312899	0
7	54311454	62070233	80	609071678	0
7	62070233	69829012	81	616830457	0
7	69829012	80974533	82	624589236	0
8	1	7758780	83	635734758	635734758
8	7758780	15517559	84	643493537	0
8	15517559	23276338	85	651252316	0
8	23276338	31035117	86	659011095	0
8	31035117	38793896	87	666769874	0
8	38793896	46552675	88	674528653	0
8	46552675	54311454	89	682287432	0
8	54311454	62070233	90	690046211	0
8	62070233	69829012	91	697804990	0
8	69829012	74330417	92	705563769	0
9	1	7758780	93	710065175	710065175
9	7758780	15517559	94	717823954	0
9	15517559	23276338	95	725582733	0
9	23276338	31035117	96	733341512	0
9	31035117	38793896	97	741100291	0
9	38793896	46552675	98	748859070	0
9	46552675	54311454	99	756617849	0
9	54311454	61074083	100	764376628	0
10	1	7758780	101	771139258	771139258
10	7758780	15517559	102	778898037	0
10	15517559	23276338	103	786656816	0
10	23276338	31035117	104	794415595	0
10	31035117	38793896	105	802174374	0
10	38793896	46552675	106	809933153	0
10	46552675	54311454	107	817691932	0
10	54311454	62070233	108	825450711	0
10	62070233	69331448	109	833209490	0
11	1	7758780	110	840470706	840470706
11	7758780	15517559	111	848229485	0
11	15517559	23276338	112	855988264	0
11	23276338	31035117	113	863747043	0
11	31035117	38793896	114	871505822	0
11	38793896	46552675	115	879264601	0
11	46552675	54311454	116	887023380	0
11	54311454	62070233	117	894782159	0
11	62070233	69829012	118	902540938	0
11	69829012	74389098	119	910299717	0
12	1	7758780	120	914859804	914859804
12	7758780	15517559	121	922618583	0
12	15517559	23276338	122	930377362	0
12	23276338	31035117	123	938136141	0
12	31035117	38793896	124	945894920	0
12	38793896	46552675	125	953653699	0
12	46552675	54311454	126	961412478	0
12	54311454	62070233	127	969171257	0
12	62070233	72498082	128	976930036	0
13	1	7758780	129	987357886	987357886
13	7758780	15517559	130	995116665	0
13	15517559	23276338	131	1002875444	0
13	23276338	31035117	132	1010634223	0
13	31035117	38793896	133	1018393002	0
13	38793896	46552675	134	1026151781	0
13	46552675	54311454	135	1033910560	0
13	54311454	63241924	136	1041669339	0
14	1	7758780	137	1050599810	1050599810
14	7758780	15517559	138	1058358589	0
14	15517559	23276338	139	1066117368	0
14	23276338	31035117	140	1073876147	0
14	31035117	38793896	141	1081634926	0
14	38793896	46552675	142	1089393705	0
14	46552675	54311454	143	1097152484	0
14	54311454	60966680	144	1104911263	0
15	1	7758780	145	1111566490	1111566490
15	7758780	15517559	146	1119325269	0
15	15517559	23276338	147	1127084048	0
15	23276338	31035117	148	1134842827	0
15	31035117	38793896	149	1142601606	0
15	38793896	46552675	150	1150360385	0
15	46552675	54311454	151	1158119164	0
15	54311454	64190967	152	1165877943	0
16	1	7758780	153	1175757457	1175757457
16	7758780	15517559	154	1183516236	0
16	15517559	23276338	155	1191275015	0
16	23276338	31035117	156	1199033794	0
16	31035117	38793896	157	1206792573	0
16	38793896	46552675	158	1214551352	0
16	46552675	54311454	159	1222310131	0
16	54311454	59632847	160	1230068910	0
17	1	7758780	161	1235390304	1235390304
17	7758780	15517559	162	1243149083	0
17	15517559	23276338	163	1250907862	0
17	23276338	31035117	164	1258666641	0
17	31035117	38793896	165	1266425420	0
17	38793896	46552675	166	1274184199	0
17	46552675	54311454	167	1281942978	0
17	54311454	64289060	168	1289701757	0
18	1	7758780	169	1299679364	1299679364
18	7758780	15517559	170	1307438143	0
18	15517559	23276338	171	1315196922	0
18	23276338	31035117	172	1322955701	0
