Chromosome	Start	End	Bin	Absolute	ChromoStart
1	1	3343452	1	1	1
1	3343452	6686903	2	3343452	0
1	6686903	10030354	3	6686903	0
1	10030354	13373805	4	10030354	0
1	13373805	16717256	5	13373805	0
1	16717256	20060707	6	16717256	0
1	20060707	23404158	7	20060707	0
1	23404158	26747609	8	23404158	0
1	26747609	30091060	9	26747609	0
1	30091060	33434511	10	30091060	0
1	33434511	36777962	11	33434511	0
1	36777962	40121413	12	36777962	0
1	40121413	43464864	13	40121413	0
1	43464864	46808315	14	43464864	0
1	46808315	50151766	15	46808315	0
1	50151766	53495217	16	50151766	0
1	53495217	56838668	17	53495217	0
1	56838668	60182119	18	56838668	0
1	60182119	63525570	19	60182119	0
1	63525570	66869021	20	63525570	0
1	66869021	70212472	21	66869021	0
1	70212472	73555923	22	70212472	0
1	73555923	76899374	23	73555923	0
1	76899374	80242825	24	76899374	0
1	80242825	83586276	25	80242825	0
1	83586276	86929727	26	83586276	0
1	86929727	90273178	27	86929727	0
1	90273178	93616629	28	90273178	0
1	93616629	96960080	29	93616629	0
1	96960080	100303531	30	96960080	0
1	100303531	103646982	31	100303531	0
1	103646982	106990433	32	103646982	0
1	106990433	110333884	33	106990433	0
1	110333884	113677335	34	110333884	0
1	113677335	117020786	35	113677335	0
1	117020786	120364237	36	117020786	0
1	120364237	123707688	37	120364237	0
1	123707688	127051139	38	123707688	0
1	127051139	130394590	39	127051139	0
1	130394590	133738041	40	130394590	0
1	133738041	137081492	41	133738041	0
1	137081492	140424943	42	137081492	0
1	140424943	143768394	43	140424943	0
1	143768394	147111845	44	143768394	0
1	147111845	150455296	45	147111845	0
1	150455296	153798747	46	150455296	0
1	153798747	157142198	47	153798747	0
1	157142198	160485649	48	157142198	0
1	160485649	163829100	49	160485649	0
1	163829100	167172551	50	163829100	0
1	167172551	170516002	51	167172551	0
1	170516002	173859453	52	170516002	0
1	173859453	177202904	53	173859453	0
1	177202904	180546355	54	177202904	0
1	180546355	183889806	55	180546355	0
