Chromosome	Start	End	Bin	Absolute	ChromoStart
A1	1	8095135	1	1	1
A1	8095135	16190269	2	8095135	0
A1	16190269	24285403	3	16190269	0
A1	24285403	32380537	4	24285403	0
A1	32380537	40475671	5	32380537	0
A1	40475671	48570805	6	40475671	0
A1	48570805	56665939	7	48570805	0
A1	56665939	64761073	8	56665939	0
A1	64761073	72856207	9	64761073	0
A1	72856207	80951341	10	72856207	0
A1	80951341	89046475	11	80951341	0
A1	89046475	97141609	12	89046475	0
A1	97141609	105236743	13	97141609	0
A1	105236743	113331877	14	105236743	0
A1	113331877	121427011	15	113331877	0
A1	121427011	129522145	16	121427011	0
A1	129522145	137617279	17	129522145	0
A1	137617279	145712413	18	137617279	0
A1	145712413	153807547	19	145712413	0
A1	153807547	161902681	20	153807547	0
A1	161902681	169997815	21	161902681	0
A1	169997815	178092949	22	169997815	0
A1	178092949	186188083	23	178092949	0
A1	186188083	194283217	24	186188083	0
A1	194283217	202378351	25	194283217	0
A1	202378351	210473485	26	202378351	0
A1	210473485	218568619	27	210473485	0
A1	218568619	226663753	28	218568619	0
A1	226663753	234758887	29	226663753	0
A1	234758887	239302904	30	234758887	0
A2	1	8095135	31	239302905	239302905
A2	8095135	16190269	32	247398039	0
A2	16190269	24285403	33	255493173	0
A2	24285403	32380537	34	263588307	0
A2	32380537	40475671	35	271683441	0
A2	40475671	48570805	36	279778575	0
A2	48570805	56665939	37	287873709	0
A2	56665939	64761073	38	295968843	0
A2	64761073	72856207	39	304063977	0
A2	72856207	80951341	40	312159111	0
A2	80951341	89046475	41	320254245	0
A2	89046475	97141609	42	328349379	0
A2	97141609	105236743	43	336444513	0
A2	105236743	113331877	44	344539647	0
A2	113331877	121427011	45	352634781	0
A2	121427011	129522145	46	360729915	0
A2	129522145	137617279	47	368825049	0
A2	137617279	145712413	48	376920183	0
A2	145712413	153807547	49	385015317	0
A2	153807547	161902681	50	393110451	0
A2	161902681	169043630	51	401205585	0
A3	1	8095135	52	408346535	408346535
A3	8095135	16190269	53	416441669	0
A3	16190269	24285403	54	424536803	0
A3	24285403	32380537	55	432631937	0
A3	32380537	40475671	56	440727071	0
A3	40475671	48570805	57	448822205	0
A3	48570805	56665939	58	456917339	0
