Chromosome	Start	End	Bin	Absolute	ChromoStart
1	1	8655465	1	1	1
1	8655465	17310929	2	8655465	0
1	17310929	25966393	3	17310929	0
1	25966393	34621857	4	25966393	0
1	34621857	43277321	5	34621857	0
1	43277321	51932785	6	43277321	0
1	51932785	60588249	7	51932785	0
1	60588249	69243713	8	60588249	0
1	69243713	77899177	9	69243713	0
1	77899177	86554641	10	77899177	0
1	86554641	95210105	11	86554641	0
1	95210105	103865569	12	95210105	0
1	103865569	112521033	13	103865569	0
1	112521033	121176497	14	112521033	0
1	121176497	129831961	15	121176497	0
1	129831961	138487425	16	129831961	0
1	138487425	147142889	17	138487425	0
1	147142889	155798353	18	147142889	0
1	155798353	164453817	19	155798353	0
1	164453817	173109281	20	164453817	0
1	173109281	181764745	21	173109281	0
1	181764745	190420209	22	181764745	0
1	190420209	199075673	23	190420209	0
1	199075673	207731137	24	199075673	0
1	207731137	216386601	25	207731137	0
1	216386601	225042065	26	216386601	0
1	225042065	233697529	27	225042065	0
1	233697529	242352993	28	233697529	0
1	242352993	251008457	29	242352993	0
1	251008457	259663921	30	251008457	0
1	259663921	268319385	31	259663921	0
1	268319385	276974849	32	268319385	0
1	276974849	285630313	33	276974849	0
1	285630313	294285777	34	285630313	0
1	294285777	302941241	35	294285777	0
1	302941241	315321323	36	302941241	0
2	1	8655465	37	315321324	315321324
2	8655465	17310929	38	323976788	0
2	17310929	25966393	39	332632252	0
2	25966393	34621857	40	341287716	0
2	34621857	43277321	41	349943180	0
2	43277321	51932785	42	358598644	0
2	51932785	60588249	43	367254108	0
2	60588249	69243713	44	375909572	0
2	69243713	77899177	45	384565036	0
2	77899177	86554641	46	393220500	0
2	86554641	95210105	47	401875964	0
2	95210105	103865569	48	410531428	0
2	103865569	112521033	49	419186892	0
2	112521033	121176497	50	427842356	0
2	121176497	129831961	51	436497820	0
2	129831961	138487425	52	445153284	0
2	138487425	147142889	53	453808748	0
2	147142889	155798353	54	462464212	0
2	155798353	162569376	55	471119676	0
3	1	8655465	56	477890700	477890700
3	8655465	17310929	57	486546164	0
3	17310929	25966393	58	495201628	0
3	25966393	34621857	59	503857092	0
3	34621857	43277321	60	512512556	0
3	43277321	51932785	61	521168020	0
3	51932785	60588249	62	529823484	0
3	60588249	69243713	63	538478948	0
3	69243713	77899177	64	547134412	0
3	77899177	86554641	65	555789876	0
3	86554641	95210105	66	564445340	0
3	95210105	103865569	67	573100804	0
3	103865569	112521033	68	581756268	0
3	112521033	121176497	69	590411732	0
3	121176497	129831961	70	599067196	0
3	129831961	138487425	71	607722660	0
3	138487425	144787323	72	616378124	0
4	1	8655465	73	622678023	622678023
4	8655465	17310929	74	631333487	0
4	17310929	25966393	75	639988951	0
4	25966393	34621857	76	648644415	0
4	34621857	43277321	77	657299879	0
4	43277321	51932785	78	665955343	0
4	51932785	60588249	79	674610807	0
4	60588249	69243713	80	683266271	0
4	69243713	77899177	81	691921735	0
4	77899177	86554641	82	700577199	0
4	86554641	95210105	83	709232663	0
4	95210105	103865569	84	717888127	0
4	103865569	112521033	85	726543591	0
4	112521033	121176497	86	735199055	0
4	121176497	129831961	87	743854519	0
4	129831961	138487425	88	752509983	0
4	138487425	143465944	89	761165447	0
5	1	8655465	90	766143967	766143967
5	8655465	17310929	91	774799431	0
5	17310929	25966393	92	783454895	0
5	25966393	34621857	93	792110359	0
5	34621857	43277321	94	800765823	0
5	43277321	51932785	95	809421287	0
5	51932785	60588249	96	818076751	0
5	60588249	69243713	97	826732215	0
5	69243713	77899177	98	835387679	0
5	77899177	86554641	99	844043143	0
5	86554641	95210105	100	852698607	0
5	95210105	103865569	101	861354071	0
5	103865569	111506442	102	870009535	0
6	1	8655465	103	877650409	877650409
6	8655465	17310929	104	886305873	0
6	17310929	25966393	105	894961337	0
6	25966393	34621857	106	903616801	0
6	34621857	43277321	107	912272265	0
6	43277321	51932785	108	920927729	0
6	51932785	60588249	109	929583193	0
6	60588249	69243713	110	938238657	0
6	69243713	77899177	111	946894121	0
6	77899177	86554641	112	955549585	0
6	86554641	95210105	113	964205049	0
6	95210105	103865569	114	972860513	0
6	103865569	112521033	115	981515977	0
6	112521033	121176497	116	990171441	0
6	121176497	129831961	117	998826905	0
6	129831961	138487425	118	1007482369	0
6	138487425	147142889	119	1016137833	0
6	147142889	157765594	120	1024793297	0
7	1	8655465	121	1035416003	1035416003
7	8655465	17310929	122	1044071467	0
7	17310929	25966393	123	1052726931	0
7	25966393	34621857	124	1061382395	0
7	34621857	43277321	125	1070037859	0
7	43277321	51932785	126	1078693323	0
7	51932785	60588249	127	1087348787	0
7	60588249	69243713	128	1096004251	0
7	69243713	77899177	129	1104659715	0
