Chromosome	Start	End	Bin	Absolute	ChromoStart
1	1	10098304	1	1	1
1	10098304	20196607	2	10098304	0
1	20196607	30294910	3	20196607	0
1	30294910	40393213	4	30294910	0
1	40393213	50491516	5	40393213	0
1	50491516	60589819	6	50491516	0
1	60589819	70688122	7	60589819	0
1	70688122	80786425	8	70688122	0
1	80786425	90884728	9	80786425	0
1	90884728	100983031	10	90884728	0
1	100983031	111081334	11	100983031	0
1	111081334	121179637	12	111081334	0
1	121179637	131277940	13	121179637	0
1	131277940	141376243	14	131277940	0
1	141376243	151474546	15	141376243	0
1	151474546	161572849	16	151474546	0
1	161572849	171671152	17	161572849	0
1	171671152	181769455	18	171671152	0
1	181769455	191867758	19	181769455	0
1	191867758	201966061	20	191867758	0
1	201966061	212064364	21	201966061	0
1	212064364	222162667	22	212064364	0
1	222162667	229942018	23	222162667	0
2A	1	10098304	24	229942019	229942019
2A	10098304	20196607	25	240040322	0
2A	20196607	30294910	26	250138625	0
2A	30294910	40393213	27	260236928	0
2A	40393213	50491516	28	270335231	0
2A	50491516	60589819	29	280433534	0
2A	60589819	70688122	30	290531837	0
2A	70688122	80786425	31	300630140	0
2A	80786425	90884728	32	310728443	0
2A	90884728	100983031	33	320826746	0
2A	100983031	113028657	34	330925049	0
2B	1	10098304	35	342970676	342970676
2B	10098304	20196607	36	353068979	0
2B	20196607	30294910	37	363167282	0
2B	30294910	40393213	38	373265585	0
2B	40393213	50491516	39	383363888	0
2B	50491516	60589819	40	393462191	0
2B	60589819	70688122	41	403560494	0
2B	70688122	80786425	42	413658797	0
2B	80786425	90884728	43	423757100	0
2B	90884728	100983031	44	433855403	0
2B	100983031	111081334	45	443953706	0
2B	111081334	121179637	46	454052009	0
2B	121179637	135000295	47	464150312	0
3	1	10098304	48	477970971	477970971
3	10098304	20196607	49	488069274	0
3	20196607	30294910	50	498167577	0
3	30294910	40393213	51	508265880	0
3	40393213	50491516	52	518364183	0
3	50491516	60589819	53	528462486	0
3	60589819	70688122	54	538560789	0
3	70688122	80786425	55	548659092	0
3	80786425	90884728	56	558757395	0
3	90884728	100983031	57	568855698	0
3	100983031	111081334	58	578954001	0
3	111081334	121179637	59	589052304	0
